Discipline,Effect,Description
Social Psychology,Age of acquisition influence on the conceptual stages of lexical retrieval in logographic languages (spoken picture naming in logographic languages),* **Age of acquisition influence on the conceptual stages of lexical retrieval in logographic languages (spoken picture naming in logographic languages). **Early-acquired names of objects are produced more quickly and accurately than late-acquired names in logographic languages such as Japanese and Chinese.
Social Psychology,Age of acquisition influence on the conceptual stages of lexical retrieval in transparent languages (spoken picture naming in transparent languages),"* **Age of acquisition influence on the conceptual stages of lexical retrieval in transparent languages (spoken picture naming in transparent language). **Early-acquired objects are named more quickly and accurately than late-acquired objects in transparent languages or shallow orthography (i.e. spelling-sound correspondence is direct where one is able to pronounce the word correctly based on the spelling; e.g. Spanish, Turkish, Italian)."
Social Psychology,Age of acquisition influence on the conceptual stages of lexical retrieval (written picture naming),* **Age of acquisition influence on the conceptual stages of lexical retrieval (written picture naming). **Early-acquired object names are written more quickly and accurately than late-acquired names.
Social Psychology,Age of acquisition influence on the conceptual stages of lexical retrieval (typing),"* **Age of acquisition influence on the conceptual stages of lexical retrieval   (typing). **Early-acquired object names are typed more quickly than late-acquired object names. Typing allows more precise measure for the response execution, while written picture naming is a measure for lexical retrieval."
Social Psychology,Age of acquisition influence on the post-conceptual stages of lexical retrieval (delayed spoken picture naming),"* **Age of acquisition influence on the post-lexical stages of lexical retrieval (delayed spoken picture naming). **Early-acquired words should not differ from late-acquired words in terms of accuracy and response speed of spoken naming, when using a delayed picture naming task that requires participants to name a picture a few seconds (e.g. 2-4 sec) after seeing the actual picture. This task enables researchers to assess if any possible delay of naming effects result at an articulatory level, as opposed to a conceptual level or lexical retrieval stage."
Social Psychology,Age of acquisition influence on the post-lexical stages of lexical/sublexical retrieval (delayed spoken word naming),"* **Age of acquisition influence on the post-lexical stages of lexical/sublexical retrieval (delayed spoken word naming). **Early-acquired words should not differ from late-acquired words, when using delayed word naming. This enables researchers to assess if the lexical/sublexical effects result at an articulatory level."
Social Psychology,Age of acquisition influence on lexical retrieval (written word naming),"* **Age of acquisition influence on lexical retrieval (written word naming). **Early-acquired words are written and spelled more quickly and accurately than late-acquired words. In contrast to written picture naming, written word naming involves access to the lexical and sublexical pathways that are not accessed in typing or written picture naming."
Social Psychology,Age of acquisition influence on lexical retrieval (Immediate spoken word naming in opaque language),"* **Age of acquisition influence on lexical retrieval in opaque languages (Immediate spoken word naming in opaque language). **Early-acquired words are named more quickly and accurately than late-acquired words in opaque languages or deep orthography (i.e. spelling-sound correspondence is not direct where one is able to pronounce the word correctly based on the spelling; e.g. English, French)."
Social Psychology,Age of acquisition influence on lexical retrieval  (Immediate spoken word naming in transparent language),"* **Age of acquisition influence on lexical retrieval (Immediate spoken word naming in transparent language). **Early-acquired words are named more quickly and accurately than late-acquired words in transparent languages or shallow orthography (i.e. spelling-sound correspondence is direct where one is able to pronounce the word correctly based on the spelling; e.g. Italian, Spanish)."
Social Psychology,Age of acquisition influence on lexical retrieval (spoken character naming in logographic languages),* **Age of acquisition influence on lexical retrieval in logographic languages (spoken character naming in logographic languages). **Early-acquired characters are named more quickly and accurately than late-acquired characters in logographic languages such as Japanese and Chinese.
Social Psychology,Age of acquisition influence on speeded phonological retrieval (speeded spoken word naming),"* **Age of acquisition influence on speeded phonological retrieval. **Early-acquired words are responded to more quickly and accurately than late-acquired words, using a speeded naming paradigm, where participants must name the items as quickly as possible within a short timeframe (e.g. 400 milliseconds). This effect is argued to reduce the influence of semantics on phonological activation, which is argued to accumulate over the word naming process."
Social Psychology,Age of acquisition influence on lexical retrieval (auditory lexical decision task in opaque languages),"* **Age of acquisition influence on lexical retrieval (auditory lexical decision task in opaque languages). **Early-acquired words are heard and responded to more quickly and accurately than late-acquired words, using auditory lexical decision tasks where participants have to judge whether they heard a real word or not."
Social Psychology,Age of acquisition influence on lexical retrieval (visual lexical decision in opaque languages),"* **Age of acquisition influence on lexical retrieval (visual lexical decision in opaque languages). **Early-acquired words are seen and responded more quickly and accurately than late-acquired words in  opaque languages or deep orthography (i.e. spelling-sound correspondence is not direct where one is able to pronounce the word correctly based on the spelling; e.g. English, French), using visual lexical decision task. Participants have to decide whether they saw a word or not."
Social Psychology,Age of acquisition influence on lexical retrieval (Visual lexical decision in transparent languages),"* **Age of acquisition influence on lexical retrieval (Visual lexical decision in transparent language). **Early-acquired words are responded more quickly and accurately than late-acquired words in transparent languages or shallow orthography (i.e. spelling-sound correspondence is direct where one is able to pronounce the word correctly based on the spelling; e.g. Spanish, Turkish, Italian)."
Social Psychology,Age of acquisition influence on lexical retrieval (Visual lexical decision in logographic languages),"* **Age of acquisition influence on lexical retrieval (Visual lexical decision in logographic languages). **Early-acquired logograms are responded more quickly and accurately than late-acquired logograms in logographic languages such as Chinese and Japanese, using a visual lexical decision task."
Social Psychology,Age of acquisition influence on silent reading (eye-tracking),"* **Age of acquisition influence on silent reading (eye-tracking). **Early-acquired words show shorter fixations, gaze and total reading times than late-acquired words in sentences and paragraphs, using eye-tracking."
Social Psychology,Age of acquisition influence on name retrieval,"* **Age of acquisition influence on name retrieval. **The earlier an individual learns a celebrity name and face, the more quickly and accurately the participant will name the celebrity."
Social Psychology,Age of acquisition on lexical-semantic processes (translation task),"* **Age of acquisition on lexical-semantic processes (translation task). **Compared to late-acquired words, early-acquired words in a native or other language are translated more quickly to the other language or the native language, respectively."
Social Psychology,Age of acquisition influence on lexical-semantic processes (picture-word interference),"* **Age of acquisition influence on lexical-semantic processes (picture-word interference). **The pictures of objects whose concept is acquired earlier show smaller semantic interference with simultaneously appearing semantically related words, compared to when the task is done using pictures of objects whose concept is acquired later."
Social Psychology,Age of acquisition influence on lexical change,"* **Age of acquisition influence on lexical change. **In contrast to the meaning of late-acquired words,** **the meaning of early-acquired words are less likely to change over time in the conceptual representation of the speaker and community."
Social Psychology,Age of acquisition influence on learning (conceptual learning),"* **Age of acquisition influence on learning (conceptual learning). **The earlier a concept is learned, the more likely the concept will be more strongly consolidated and more likely to be recalled."
Social Psychology,Age of acquisition influence on learning (procedural learning),* **Age of acquisition influence on learning (procedural). **The order of learning new actions of a procedures influences the speed and accuracy of recalling the correct position.
Social Psychology,Frequency effects on memory - influence on free recall (pure block),* **Frequency effects on memory - influence on free recall (pure block). **High frequency items are recalled more accurately than low-frequency items when high-frequency items are presented in a separate block and low-frequency items are presented in a separate block.
Social Psychology,Frequency effects on memory - influence on free recall (mixed block),* **Frequency effects on memory - influence on free recall (mixed block). **High-frequency items are recalled more accurately than High-frequency items when early-acquired items are mixed with late-acquired items in a block.
Social Psychology,Frequency effects on memory - influence on recognition (mixed block),* **Frequency effects on memory - influence on recognition (mixed block). **High-frequency items are recognised more accurately than low-frequency items.
Social Psychology,Frequency influence on the pre-conceptual stages of lexical retrieval (progressive demasking),"* **Frequency influences the pre-conceptual stages of lexical retrieval (progressive demasking). **High-frequency items are identified more accurately than low-frequency items, using a progressive demasking task. A progressive demasking task is a type of perceptual identification task where participants are presented with a series of words that are gradually revealed over time and their ability to identify words at each stage of the task is measured. Words learned at an earlier age are thought to be easier to demask than those learned later in life, perhaps because the individual has gained more experience and exposure to the word, which can make it easier to recognize."
Social Psychology,Frequency influence on the pre-conceptual stages of lexical retrieval (object decision),* **Frequency influence on the pre-conceptual stages of lexical retrieval (object decision). **The age at which one acquires the concept of  an object does not contribute to the speed and accuracy of recognising whether an object is a real object or not a real world object that has chimeric features.
Social Psychology,Age of acquisition influence on the pre-conceptual stages of lexical retrieval (category verification),"* **Age of acquisition influence on the pre-conceptual stages of lexical retrieval (category verification). **The frequency that a person encounters a word or object does not contribute to the speed and accuracy of category verification during a semantic categorisation task (where objects have to be decided whether they represent one group or another, e.g. tools vs. furniture)."
Social Psychology,Frequency influence on the pre-conceptual stages of lexical retrieval (category falsification),"* **Frequency influence on the pre-conceptual stages of lexical retrieval (category falsification). **The frequency that a person encounters a word or object does not contribute to the speed and accuracy of category falsification (i.e. deciding that a different word and the picture of the acquired concept do not match; e.g. the picture of the acquired concept of a rabbit, paired with the non-matching word “mouse”)."
Social Psychology,Frequency influence on semantic decision,* **Frequency influence on semantic decision. **High-frequency semantic concepts are categorised more quickly and accurately than low-frequency concepts.
Social Psychology,Frequency influence on the conceptual stages of lexical retrieval in opaque languages (spoken picture naming in opaque languages),"* **Frequency influence on the conceptual stages of lexical retrieval in opaque languages (spoken picture naming in opaque language). **High-frequency objects are named more quickly and accurately than low-frequency objects in opaque languages or deep orthography (i.e. spelling-sound correspondence is not direct where one is able to pronounce the word correctly based on the spelling; e.g. English, French)."
Social Psychology,Frequency influence on the conceptual stages of lexical retrieval in logographic languages (spoken picture naming in logographic languages),* **Frequency influence on the conceptual stages of lexical retrieval in logographic languages (spoken picture naming in logographic languages). **High-frequency names of objects do not differ in naming latencies to low-frequency names in logographic languages such as Japanese and Chinese.
Social Psychology,Frequency influence on the conceptual stages of lexical retrieval in transparent languages (spoken picture naming in transparent languages),"* **Frequency influence on the conceptual stages of lexical retrieval in transparent languages (spoken picture naming in transparent language). **High-frequency objects are named more quickly and accurately than low-frequency objects in transparent languages or shallow orthography (i.e. spelling-sound correspondence is direct where one is able to pronounce the word correctly based on the spelling; e.g. Spanish, Turkish, Italian)."
Social Psychology,Frequency influence on the conceptual stages of lexical retrieval (written picture naming),* **Frequency influence on the conceptual stages of lexical retrieval (written picture naming). **High-frequency object names do not significantly differ in terms of written latencies to low-frequency names.
Social Psychology,Frequency influence on the conceptual stages of lexical retrieval (typing),"* **Frequency influence on the conceptual stages of lexical retrieval   (typing). **The frequency of the object does not contribute to typing latencies. Typing allows more precise measure for the response execution, while written picture naming is a measure for lexical retrieval."
Social Psychology,Frequency influence on the post-lexical stages of lexical/sublexical retrieval (delayed spoken word naming),"* **Frequency influence on the post-lexical stages of lexical/sublexical retrieval (delayed spoken word naming). **Early-acquired words should not differ from late-acquired words, when using delayed word naming. This enables researchers to assess if the lexical/sublexical effects result at an articulatory level."
Social Psychology,Word frequency influence on lexical retrieval (written word naming),"* **Word frequency influence on lexical retrieval (written word naming). **High-frequency words are written and spelled more quickly and accurately than low-frequency words. In contrast to written picture naming, written word naming involves access to the lexical and sublexical pathways that are not accessed in typing or written picture naming."
Social Psychology,Frequency influence on lexical retrieval (Immediate spoken word naming in opaque language),"* **Frequency influence on lexical retrieval in opaque languages (Immediate spoken word naming in opaque language). **High-frequency  words are named more quickly and accurately than low-frequency words in opaque languages or deep orthography (i.e. spelling-sound correspondence is not direct where one is able to pronounce the word correctly based on the spelling; e.g. English, French)."
Social Psychology,Frequency influence on lexical retrieval  (Immediate spoken word naming in transparent language),"* **Frequency influence on lexical retrieval (Immediate spoken word naming in transparent language). **High-frequency words are named more quickly and accurately than low-frequency words in transparent languages or shallow orthography (i.e. spelling-sound correspondence is direct where one is able to pronounce the word correctly based on the spelling; e.g. Italian, Spanish)."
Social Psychology,Frequency influence on lexical retrieval (spoken character naming in logographic languages),* **Frequency influence on lexical retrieval in logographic languages (spoken character naming in logographic languages). **High-frequency characters are named more quickly and accurately than low-frequency characters in logographic languages such as Japanese and Chinese.
Social Psychology,Frequency influence on speeded phonological retrieval (speeded spoken word naming),"* **Frequency influence on speeded phonological retrieval. **High-frequency words are responded to more quickly and accurately than low-frequency words, using a speeded naming paradigm, where participants must name the items as quickly as possible within a short timeframe (e.g. 400 milliseconds). This effect is argued to reduce the influence of semantics on phonological activation, which is argued to accumulate over the word naming process."
Social Psychology,Frequency influence on lexical retrieval (auditory lexical decision task),"* **Frequency influence on lexical retrieval (auditory lexical decision task). **High-frequency words are heard and responded to more quickly and accurately than low-frequency words, using auditory lexical decision tasks where participants have to judge whether they heard a real word or not."
Social Psychology,Frequency influence on lexical retrieval (visual lexical decision in opaque languages),"* **Frequency influence on lexical retrieval (visual lexical decision in opaque languages). **High-frequency words are seen and responded more quickly and accurately than low-frequency words in  opaque languages or deep orthography (i.e. spelling-sound correspondence is not direct where one is able to pronounce the word correctly based on the spelling; e.g. English, French), using visual lexical decision task. Participants have to decide whether they saw a word or not."
Social Psychology,Frequency influence on lexical retrieval (Visual lexical decision in transparent languages),"* **Frequency influence on lexical retrieval  (Visual lexical decision in transparent language). **High frequency words are responded more quickly and accurately than low frequency words in transparent languages or shallow orthography (i.e. spelling-sound correspondence is direct where one is able to pronounce the word correctly based on the spelling; e.g. Spanish, Turkish, Italian)."
Social Psychology,Frequency influence on lexical retrieval (Visual lexical decision in logographic languages),"* **Frequency influence on lexical retrieval (Visual lexical decision in logographic languages). **High frequency logograms are responded more quickly and accurately than low frequency logograms in logographic languages such as Chinese and Japanese, using a visual lexical decision task."
Social Psychology,Frequency influence on silent reading (eye-tracking),"* **Frequency influence on silent reading (eye-tracking). **High-frequency words show shorter fixations, gaze and total reading times than low-frequency words in sentences and paragraphs, using eye-tracking."
Social Psychology,Frequency on lexical-semantic processes (translation task),"* **Frequency on lexical-semantic processes (translation task). **Compared to low-frequency words, high-frequency words in a native or other language are translated more quickly to the other language or the native language, respectively."
Social Psychology,Frequency influence on lexical-semantic processes (picture-word interference),"* **Frequency influence on lexical-semantic processes (picture-word interference). **The word distractor more frequently show smaller semantic interference with simultaneously appearing semantically related words, compared to when the task is done with words encountered less frequently."
Social Psychology,Frequency influence on lexical change,"* **Frequency influence on lexical change. **In contrast to the meaning of early-acquired words,** **the meaning of high-frequency words are less likely to change over time in the conceptual representation of the speaker and community."
Social Psychology,Lateralisation of emotional processing with a chimeric face procedure (complete),* **Lateralisation of emotional processing with a chimeric face procedure**. Participants are shown two faces: a neutral and emotional face on either the left or right side. There is a left-sided bias when choosing the face that presents itself as happy.
Social Psychology,Asymmetries in visual search (complete),"* **Asymmetries in visual search. **Participants are faster to respond to unknown targets defined by the presence, not absence, of a feature."
Social Psychology,Doodling increases intentional memory (complete),* **Doodling increases intentional memory**. Doodling increases intentional memory related to a pre-recorded audio message.
Social Psychology,Switching perspective provides new information (complete),* **Switching perspective provides new information. **Switching perspective provides new information related to a previous passage.
Social Psychology,Better than chance recognition of old object pairs (complete),* **Better than chance recognition of old object pairs**. There is an above-chance recognition of old objects in an old-new pairs when presenting context of state pairs.
Social Psychology,Worse performance after feedback than no feedback (complete),* **Worse performance after feedback than no feedback**. Performance following ‘correct’ / ‘incorrect’ feedback is worse than providing no feedback.
Social Psychology,Shift behaviour after losses than wins (complete),* **Shift behaviour after losses than wins. **The percentage of shift behaviour is larger following losses relative to wins.
Social Psychology,Letter categorisation after rotation (complete),* **Letter categorisation after rotation. **Participants take longer to complete** **letter categorization as the letter is rotated away from its original/canonical position.
Social Psychology,Production effect on free recall in pure list,"Words produced are unlikely to be recalled than words heard. This occurs when the two conditions are presented in different lists. For instance, lists containing only silently read or only read aloud items."
Social Psychology,Production effect on free recall in mixed list,"Words produced are more likely to be recalled than words heard. This occurs when the two conditions are presented in the same list. For instance, list 1 has items both silently read and read aloud."
Social Psychology,Social production effect on free recall,"Words produced are more likely to be recalled than words heard. However, the effect is smaller when the word is produced by the another person, as opposed to the self."
Social Psychology,Production effect in text reading,Words produced are more likely to be recalled than words heard when read as a sentence.
Social Psychology,Syntactic predictability in young adults,Young adults are more likely to be facilitated during reading when the sentence is presented with an _either _than when the sentence does not have an _either _included._ _
Social Psychology,Syntactic predictability in older adults,Older adults are more likely to be facilitated during reading when the sentence is presented with an _either _than when the sentence does not have an _either _included._ _
Social Psychology,Ego depletion,"Self-control is a limited resource that can be depleted by efforts to inhibit a thought, emotion or behaviour."
Social Psychology,Dunning-Kruger effect,"* **Dunning-Kruger effect.** A cognitive bias whereby people with limited knowledge or competence in a given intellectual or social domain greatly overestimate their own knowledge or competence in that domain relative to objective criteria or to the performance of their peers or of people in general. Involves five claims, three of which are just popular misunderstandings: \"
Social Psychology,Depressive realism effect,Increased predictive accuracy or decreased cognitive bias among the clinically depressed.
Social Psychology,Hungry judge effect,* **Hungry judge effect. **Massively reduced acquittals just before lunch. Case order isn’t independent of acquittal probability (“unrepresented prisoners usually go last and are less likely to be granted parole”); favourable cases may take predictably longer and so are pushed until after recess; effect size is implausible on priors; explanation involved ego depletion.
Social Psychology,Multiple intelligences,"This theory suggests that there are multiple types of intelligence that can be distinguished from one another, rather than a single general intelligence that underlies all cognitive abilities. Some of the proposed types of intelligence by Gardner are linguistic intelligence, logical-mathematical intelligence, musical intelligence, bodily-kinesthetic intelligence, interpersonal intelligence, intrapersonal intelligence, and naturalistic intelligence More broadly, this theory can be taken to suggest people have different cognitive strengths and weaknesses."
Social Psychology,Brain training on intelligence - far transfer from daily computer training games to fluid intelligence,"* **Brain training on intelligence - far transfer from daily computer training games to fluid intelligence. **Transfer of knowledge and skills ** **from daily computer training games to fluid intelligence in general, in particular from the Dual n-Back game."
Social Psychology,Brain training on intelligence - music lessons improve intelligence,"An original experimental study found an increase in IQ for children who received a year of music lessons, compared to children who were randomly assigned to drama lessons or no lessons."
Social Psychology,Brain training on intelligence - Videogame play enhances psychomotor skills,"* **Brain training on intelligence - Videogame play enhances psychomotor skills. **Playing videogames (gaming) improves psychomotor skills, which are often operationalised by hand-eye coordination."
Social Psychology,Brain training on intelligence - Videogame play enhances spatial skills,"* **Brain training on intelligence - Videogame play enhances spatial skills. **Playing videogames (gaming) improves spatial skills, such as cognitive orientation and visualisation in space."
Social Psychology,Brain training on intelligence - Videogame play improves inspection and reaction time,"* Brain training on intelligence - Videogame play improves inspection and reaction time. Playing videogames (gaming) improves the ability to reliably identify and react to stimuli, i.e. inspection and reaction times."
Social Psychology,Brain training on intelligence - Videogame play improves intelligence (IQ),* **Brain training on intelligence - Videogame play improves intelligence (IQ). **Playing videogames (gaming) improves intelligence (IQ).
Social Psychology,Brain training on intelligence - Videogame play improves cognitive control and processing,* **Brain training on intelligence - Videogame play improves cognitive control and processing. **Playing videogames (gaming) improves the processing speed of cognitive tasks.
Social Psychology,Brain training on intelligence - Videogame play improves memory,* **Brain training on intelligence - Videogame play improves memory. **Playing videogames (gaming) improves various types of memory.
Social Psychology,Bilingual advantages in executive control - Inhibition,* **Bilingual advantages in executive control. **Speaking two languages improves general cognitive control processes (executive control).
Social Psychology,Bilingual executive control effect - Non-verbal task switching,"* **Bilingual advantages in executive control - Non-verbal task switching**. The idea that bilingual language switching on a daily basis makes bilinguals better at general non-verbal task switching, compared to monolinguals who do not perform this extensive daily language switching."
Social Psychology,Bilingual advantages in social communication -  Theory of mind,"* **Bilingual advantages - theory of mind. ** Bilingual children are more likely to score higher in Theory of Mind tasks than monolingual counterparts, using an unexpected transfer task."
Social Psychology,Bilingual advantages in social communication - perspective taking in referential communication,"* **Bilingual advantages - perspective taking in referential communication**. Bilingual children are more likely to score higher in Director tasks than monolingual counterparts, using the director task."
Social Psychology,Exposure to another language advantage in social communication - Perspective taking in referential communication,"* **Exposure to another language in social communication - perspective taking in referential communication**.  Children who are exposed to a second language are more likely to score higher in Director tasks than children who are not exposed to a second language, using the director task."
Social Psychology,Bilingual disadvantages in creativity - Fluency,"* **Bilingual disadvantages in creativity- fluency.** Monolinguals are more likely to rapidly produce a large number of ideas or solutions to a problem than bilinguals, using the Torrance Test."
Social Psychology,Monolingual advantages in creativity - Flexibility,"* **Monolingual advantages in creativity  - Flexibility.** Monolinguals are more likely to consider a variety of approaches to a problem simultaneously than bilinguals, using the Torrance Test."
Social Psychology,Null bilingual advantages in creativity - Originality,"* **Null Bilingual advantages in creativity - Originality.**  There should be no difference between bilinguals and monolinguals in the tendency to produce ideas different from those of most other people, using the Torrance Test. ​"
Social Psychology,Null bilingual advantages in creativity - Elaboration,"* **Null bilingual advantages in creativity - Elaboration.** There should be no difference between bilinguals and monolinguals in the tendency to think  through the details of an idea, using the Torrance Test."
Social Psychology,Mozart effect,* **Mozart effect.** Listening to Mozart’s sonata for two pianos in D major (KV 448) enhances performance on spatial tasks in standardised tests.
Social Psychology,Vivaldi effect,* Vivaldi effect. Increased cognitive performance after listening to musical excerpts composed by Vivaldi (similar to Mozart effect).
Social Psychology,Education enhances intelligence,"Education has a consistent positive effect on intelligence. A meta-analysis suggests that one additional year of education corresponds to a gain of approximately 1 to 5 IQ points (contingent on study design, inclusion of moderators, and publication-bias correction)."
Social Psychology,Automatic imitation,"* **Automatic imitation.** The observation of the topographical features of an action facilitates the execution of a similar action in the observer. Humans are prone to automatically imitate others. Automatic imitation differs from spatial compatibility effects and provides an important tool for the investigation of the mirror neuron system, motor mimicry, and complex forms of imitation."
Social Psychology,Congruency sequence effect,* **Congruency sequence effect **(conflict adaptation or Gratton effect). A cognitive phenomenon in which the processing of stimuli is affected by the stimuli that preceded it e.g. congruency effects are smaller following incongruent trials rather than congruent trials.
Social Psychology,Action-sentence Compatibility Effect,"* **Action-sentence Compatibility Effect (ACE). **Participants’ movements are faster when the direction of the described action (e.g., Mark dealt the cards to you) matches the response direction (e.g., toward)."
Social Psychology,The attentional spatial-numerical association of response codes (Att-SNARC) effect,* The **attentional spatial-numerical association of response codes (Att-SNARC) effect. **The finding that participants had quicker detects to left-side targets preceded by small numbers and to the right-side targets preceded by large numbers. This finding triggered many assumptions about the number representations grounded in body experience.
Social Psychology,Scarcity effect - Attention,"* **Scarcity effect - _Attention_. **Having too little resources leads individuals to misallocate attention, leading to consequences such as overborrowing. Study 1 examined whether scarcity causes greater cognitive fatigue, measured by poorer performance on a cognitive ability task.​"
Social Psychology,Scarcity effect - Meaning in life,"* **Scarcity effect - _Meaning in life_**. Threats to people’s sense that they can afford things that they need in the present and foreseeable future, undermines perceptions of meaning in life.​"
Social Psychology,Scarcity effect - Discounting,* **Scarcity effect - _Discounting_**. A negative income shock was associated with increased discounting rates for gains and loses.​
Social Psychology,Scarcity effect - Physical pain,* **Scarcity effect - _Physical pain_. **The higher the economic insecurity is associated with the higher the physical pain.** **
Social Psychology,Scarcity effect - Self expansion,* **Scarcity effect -** **_Self expansion. _**Lower self-concept clarity (conceptualised as a finite resource) is associated with lower self-expansion.​
Social Psychology,Scarcity effect - Wellbeing,* **Scarcity effect** **-_ Wellbeing. _**Imagining having less time available in one’s current city is positively associated with well-being.​
Social Psychology,Scarcity effect - Decision making,* **Scarcity effect - _Decision making. _** Lacking time or money can lead to making worse decisions.​
Social Psychology,Scarcity effect - Opportunity costs,* **Scarcity effect** **- _Opportunity costs._** Poor people are more likely to consider opportunity costs spontaneously.
Social Psychology,Scarcity effect - Conscious thoughts,* **Scarcity effect -_ Conscious thoughts._** Thoughts triggered by financial concerns intrude more often  into consciousness of poorer individuals than for wealthier individuals.​
Social Psychology,Scarcity effect - Absoluteness of losses,"* **Scarcity effect -_ Absoluteness of losses_.** Poorer individuals view losses in more absolute, rather than relative, terms than do wealthier individuals.​"
Social Psychology,Bottomless soup bowl,Visual cues related to portion size increase intake volume of soup.
Social Psychology,Simon effect,Faster responses are observed when the stimulus and response are on the same side than when the stimulus and response are on opposite sides.
Social Psychology,ERPs in lie detection - P300 and guilty knowledge,"* **ERPs in lie detection**. Particularly the P300 ERP component has been related in literature using Guilty Knowledge Tests to conscious recognition of crime-related targets as meaningful and salient stimuli, based on crime-related episodic memories."
Social Psychology,Evaluative conditioning,"Implicit and explicit attitudes are differently sensitive to different kinds of information. Explicit attitude are formed and changed in response to the valence of consciously accessible, verbally presented behavioural information and implicit attitudes are formed and changed in response to the valence of subliminally presented primes.​"
Social Psychology,Bilingual deficit in lexical retrieval,"Compared to monolinguals, bilinguals have often been found to be slower or less accurate in accessing the meaning of a certain word or the word for a certain representation under certain conditions.   ​"
Social Psychology,Nostalgia as a positive emotional experience,"* **Nostalgia** **as a positive emotional experience. **A predominantly positive, albeit bittersweet emotion that arises from personally relevant and longful memories of one’s past. Nostalgia was once considered a disease or mental illness, but it has been shown to counteract loneliness, boredom and anxiety."
Social Psychology,Spacing effect,Long-term memory is enhanced when learning events are spaced apart in time rather than massed in immediate succession.​
Social Psychology,False memories - eyewitness testimony,A phenomenon of recalling a real event that differs from what actually happened or an event that never occurred.
Social Psychology,Context-dependent memories,The improved recall or recognition of information when cues in the environment are the same during both encoding and retrieval.
Social Psychology,Motor priming,"Motor priming refers to the phenomenon where a previous motor action influences the subsequent execution of a motor task. Scientific findings have shown that motor priming can have a moderate to large effect on task performance. It's also important to note that the effect size of motor priming can depend on the specific task being used, the population being studied, and the experimental design."
Social Psychology,Associative priming,"Involves using two stimuli that are normally associated with one another. For example, “apple” and “tree” are two words that can be linked with one another in memory, so if only one of the words appears, it can prime the subject to respond more rapidly when the second word appears."
Social Psychology,Repetition priming,"* **Repetition priming**, classification or identification of stimulus is improved when the same stimulus has been presented previously."
Social Psychology,Semantic priming,"* **Semantic priming**, a facilitation in responding to target words such as doctor when preceded by a semantically related prime such as nurse than a semantically unrelated prime such as bread."
Social Psychology,Masked priming,A visual prime is presented followed by a visual mask at the same position or surrounding the same position.
Social Psychology,Flanker task,The Flanker task is a measure of inhibition of prepotent responses. Response times to target stimuli flanked by irrelevant stimuli of the opposite response set (incongruent) are significantly more impaired than when they are flanked by irrelevant stimuli of the same response set (congruent).
Social Psychology,Mere Exposure Effect,Participants who are repeatedly exposed to the same stimuli rate them more positively than stimuli that have not been presented before.
Social Psychology,Cocktail Party Effect,Participants hear their own name being presented in the irrelevant message during a dichotic listening task.
Social Psychology,Mental simulation - mismatch advantage: object colour,* **Mental simulation (mismatch advantage: object colour)**. Readers verify pictures more quickly when they match rather than mismatch the object colour from the preceding sentence.
Social Psychology,Mental simulation - match advantage object orientation,Readers verify pictures more quickly when they match rather than mismatch the object orientation from the preceding sentence.
Social Psychology,Mental simulation - match advantage object distance,"Readers verify small pictures more quickly when they are far from the protagonist, in contrast to big pictures, while big pictures are verified more quickly when closer to the protagonist, as opposed to smaller pictures."
Social Psychology,Mental simulation - match advantage object number,Verification response was faster for concept-object match when there was numerical congruence (compared with incongruence) between the number word and quantity.
Social Psychology,Mental simulation - match advantage object shape,Readers verify pictures more quickly when they match rather than mismatch the object shape from the preceding sentence.
Social Psychology,Mental simulation - match advantage object size,"Readers verify small imagined pictures more quickly when they are small real pictures, in contrast to big real pictures, while big imagined pictures are verified more quickly when they are big real pictures, as opposed to big imagined pictures.​"
Social Psychology,Mental simulation - bigger is better effect,* **Mental simulation - bigger is better effect.** Items that are big in real size are processed more quickly than items that are small in real size. ​
Social Psychology,Transposed word effect,* **Transposed word effect.** Responses to transposed word sequences (e.g. “you that read wrong”) are more error-prone and judged as ungrammatical compared with a control sequence (e.g. “you that read worry”).
Social Psychology,Personality > intelligence predicting life outcomes,"Personality is generally more predictive than IQ on a variety of important life outcomes, such as educational attainment and wage."
Social Psychology,Error salience effects,* **Error salience **(epistemic contextualism effects). Judgments about “knowledge” are sensitive to the salience of error possibilities. This is explained by the fact that salience shifts the evidential standard required to truthfully say someone “knows” something when those possibilities are made salient.​
Social Psychology,Gettier intuition effect,Participants attributed knowledge in Gettier-type cases (where an individual is justified in believing something to be true but their belief was only correct due to luck) at rates similar to cases of justified true belief.
Social Psychology,Left-cradling bias,* **Left cradling bias** (child cradling lateralization). Humans preferentially hold their child on the left body side. This is hypothesised to be modulated by handedness as the dominant hand is preferably free for mundane tasks.
Social Psychology,Handedness differences - Schizophrenia,* **Handedness differences - schizophrenia**. Non-right-handedness is more prevalent in individuals with schizophrenia compared to the healthy population.
Social Psychology,Handedness differences - depression,* **Handedness differences - depression. **Being left-handed is associated with a higher likelihood of being depressed.
Social Psychology,Handedness differences - stuttering,* **Handedness differences - stuttering. **The rate of stuttering was much higher in left-handers than in right-handers.
Social Psychology,Handedness differences - dyslexia,* **Handedness differences - dyslexia. **The rate of learning disabilities was much higher in left-handers than in right-handers. ​
Social Psychology,Handedness differences - intelligence,* **Handedness differences - intelligence.** Left-handedness is associated with lower scores in fluid intelligence.
Social Psychology,Handedness differences - cognitive ability,* **Handedness differences - cognitive ability. **Difference in spatial ability between left and right handers. Left handers have a supposed deficit in spatial ability.
