Discipline,Effect,Description,Original effect size
Cognitive Psychology,Age of acquisition influence on face gender decision,"The age at which  a celebrity face is acquired does not affect the speed to recognise a celebrity’s face, using a gender decision task (is this face male or female",ηp2  = 0.12 [ηp2 calculated from reported F statistic and converted using this [conversion](https://haiyangjin.github.io/2020/05/eta2d/#from-cohens-d-to-partial-eta-squared)].
Cognitive Psychology,Age of acquisition influence on semantic decision,Early-acquired semantic concepts are categorised more quickly and accurately than later acquired concepts,Experiment 2: ηp2  = 0.75 [ηp2 calculated from reported F statistic and converted using this[ conversion](https://haiyangjin.github.io/2020/05/eta2d/#from-cohens-d-to-partial-eta-squared)].
Cognitive Psychology,Age of acquisition influence on the conceptual stages of lexical retrieval in opaque languages (spoken picture naming in opaque languages),"Age of acquisition influence on the conceptual stages of lexical retrieval in opaque languages (spoken picture naming in opaque language). **Early-acquired objects are named more quickly and accurately than late-acquired objects in opaque languages or deep orthography (i.e. spelling-sound correspondence is not direct where one is able to pronounce the word correctly based on the spelling; e.g. English, French","ratings: r = -771, objective: r = .773."
Cognitive Psychology,Age of acquisition influence on the conceptual stages of lexical retrieval in logographic languages (spoken picture naming in logographic languages),Early-acquired names of objects are produced more quickly and accurately than late-acquired names in logographic languages such as Japanese and Chinese,"Experiment 1: beta = .19, Experiment 2: beta = .24."
Cognitive Psychology,Age of acquisition influence on the conceptual stages of lexical retrieval in transparent languages (spoken picture naming in transparent languages),"Age of acquisition influence on the conceptual stages of lexical retrieval in transparent languages (spoken picture naming in transparent language). **Early-acquired objects are named more quickly and accurately than late-acquired objects in transparent languages or shallow orthography (i.e. spelling-sound correspondence is direct where one is able to pronounce the word correctly based on the spelling; e.g. Spanish, Turkish, Italian",beta = 39.16.
Cognitive Psychology,Age of acquisition influence on the conceptual stages of lexical retrieval (written picture naming),Early-acquired object names are written more quickly and accurately than late-acquired names,ηp2  = 0.68  [ηp2 calculated from reported F statistic and converted using this[ conversion](https://haiyangjin.github.io/2020/05/eta2d/#from-cohens-d-to-partial-eta-squared)].
Cognitive Psychology,Age of acquisition influence on the conceptual stages of lexical retrieval (typing),"Age of acquisition influence on the conceptual stages of lexical retrieval   (typing). **Early-acquired object names are typed more quickly than late-acquired object names. Typing allows more precise measure for the response execution, while written picture naming is a measure for lexical retrieval",RT: beta = 0.19; accuracy: beta = -0.31.
Cognitive Psychology,Age of acquisition influence on the post-conceptual stages of lexical retrieval (delayed spoken picture naming),"Age of acquisition influence on the post-lexical stages of lexical retrieval (delayed spoken picture naming). **Early-acquired words should not differ from late-acquired words in terms of accuracy and response speed of spoken naming, when using a delayed picture naming task that requires participants to name a picture a few seconds (e.g. 2-4 sec) after seeing the actual picture. This task enables researchers to assess if any possible delay of naming effects result at an articulatory level, as opposed to a conceptual level or lexical retrieval stage",F &lt; 1.
Cognitive Psychology,Age of acquisition influence on the post-lexical stages of lexical/sublexical retrieval (delayed spoken word naming),"Early-acquired words should not differ from late-acquired words, when using delayed word naming. This enables researchers to assess if the lexical/sublexical effects result at an articulatory level",F &lt; 1.
Cognitive Psychology,Age of acquisition influence on lexical retrieval (written word naming),"Early-acquired words are written and spelled more quickly and accurately than late-acquired words. In contrast to written picture naming, written word naming involves access to the lexical and sublexical pathways that are not accessed in typing or written picture naming",d = 0.50 [d calculated from reported t statistic and converted using this[ conversion](https://haiyangjin.github.io/2020/05/eta2d/#from-cohens-d-to-partial-eta-squared)]. 
Cognitive Psychology,Age of acquisition influence on lexical retrieval (Immediate spoken word naming in opaque language),"Age of acquisition influence on lexical retrieval in opaque languages (Immediate spoken word naming in opaque language). **Early-acquired words are named more quickly and accurately than late-acquired words in opaque languages or deep orthography (i.e. spelling-sound correspondence is not direct where one is able to pronounce the word correctly based on the spelling; e.g. English, French",r = .30.
Cognitive Psychology,Age of acquisition influence on lexical retrieval  (Immediate spoken word naming in transparent language),"Age of acquisition influence on lexical retrieval (Immediate spoken word naming in transparent language). **Early-acquired words are named more quickly and accurately than late-acquired words in transparent languages or shallow orthography (i.e. spelling-sound correspondence is direct where one is able to pronounce the word correctly based on the spelling; e.g. Italian, Spanish",beta = -0.58.
Cognitive Psychology,Age of acquisition influence on lexical retrieval (spoken character naming in logographic languages),Age of acquisition influence on lexical retrieval in logographic languages (spoken character naming in logographic languages). **Early-acquired characters are named more quickly and accurately than late-acquired characters in logographic languages such as Japanese and Chinese,"Spoken: beta = 0.236, Written, beta = 0.343."
Cognitive Psychology,Age of acquisition influence on speeded phonological retrieval (speeded spoken word naming),"Age of acquisition influence on speeded phonological retrieval. **Early-acquired words are responded to more quickly and accurately than late-acquired words, using a speeded naming paradigm, where participants must name the items as quickly as possible within a short timeframe (e.g. 400 milliseconds). This effect is argued to reduce the influence of semantics on phonological activation, which is argued to accumulate over the word naming process",ηp2  = 0.61[ηp2 calculated from reported F statistic and converted using this[ conversion](https://haiyangjin.github.io/2020/05/eta2d/#from-cohens-d-to-partial-eta-squared)].
Cognitive Psychology,Age of acquisition influence on lexical retrieval (auditory lexical decision task in opaque languages),"Early-acquired words are heard and responded to more quickly and accurately than late-acquired words, using auditory lexical decision tasks where participants have to judge whether they heard a real word or not","kindergarten children: r = .485, first grade children: r = .172, third grade children: r = .369, adults: r = .379 "
Cognitive Psychology,Age of acquisition influence on lexical retrieval (visual lexical decision in opaque languages),"Early-acquired words are seen and responded more quickly and accurately than late-acquired words in  opaque languages or deep orthography (i.e. spelling-sound correspondence is not direct where one is able to pronounce the word correctly based on the spelling; e.g. English, French), using visual lexical decision task. Participants have to decide whether they saw a word or not",r = -0.63.
Cognitive Psychology,Age of acquisition influence on lexical retrieval (Visual lexical decision in transparent languages),"Age of acquisition influence on lexical retrieval (Visual lexical decision in transparent language). **Early-acquired words are responded more quickly and accurately than late-acquired words in transparent languages or shallow orthography (i.e. spelling-sound correspondence is direct where one is able to pronounce the word correctly based on the spelling; e.g. Spanish, Turkish, Italian",ηp2 = 0.61 [ηp2 calculated from reported F statistic and converted using this[ conversion](https://haiyangjin.github.io/2020/05/eta2d/#from-cohens-d-to-partial-eta-squared)].
Cognitive Psychology,Age of acquisition influence on lexical retrieval (Visual lexical decision in logographic languages),"Early-acquired logograms are responded more quickly and accurately than late-acquired logograms in logographic languages such as Chinese and Japanese, using a visual lexical decision task",ηp² = 0.66 [ηp2 calculated from reported F statistic and converted using this[ conversion](https://haiyangjin.github.io/2020/05/eta2d/#from-cohens-d-to-partial-eta-squared)].
Cognitive Psychology,Age of acquisition influence on silent reading (eye-tracking),"Early-acquired words show shorter fixations, gaze and total reading times than late-acquired words in sentences and paragraphs, using eye-tracking","First fixation: beta = 4.01, Single fixation: beta = 6.55, Gaze duration: beta = 6.62, Total duration: beta = 7.00."
Cognitive Psychology,Age of acquisition influence on name retrieval,"The earlier an individual learns a celebrity name and face, the more quickly and accurately the participant will name the celebrity","Experiment 1: RT ηp2  = 0.37[ηp2 calculated from reported F statistic and converted using this[ conversion](https://haiyangjin.github.io/2020/05/eta2d/#from-cohens-d-to-partial-eta-squared)], accuracy: ηp2  = 0.40[ηp2 calculated from reported F statistic and converted using this[ conversion](https://haiyangjin.github.io/2020/05/eta2d/#from-cohens-d-to-partial-eta-squared)],Experiment 2: RT: ηp2  = 0.63[ηp2 calculated from reported F statistic and converted using this[ conversion](https://haiyangjin.github.io/2020/05/eta2d/#from-cohens-d-to-partial-eta-squared)]; accuracy:  ηp2  = 0.27[ηp2 calculated from reported F statistic and converted using this[ conversion](https://haiyangjin.github.io/2020/05/eta2d/#from-cohens-d-to-partial-eta-squared)], Experiment 3: RT: ηp2  = 0.38[ηp2 calculated from reported F statistic and converted using this[ conversion](https://haiyangjin.github.io/2020/05/eta2d/#from-cohens-d-to-partial-eta-squared)], accuracy: ηp2  = 0.24[ηp2 calculated from reported F statistic and converted using this[ conversion](https://haiyangjin.github.io/2020/05/eta2d/#from-cohens-d-to-partial-eta-squared)]."
Cognitive Psychology,Age of acquisition on lexical-semantic processes (translation task),"Compared to late-acquired words, early-acquired words in a native or other language are translated more quickly to the other language or the native language, respectively","L1 AoA and translate to L1: r = .27, L1 AoA and translate to L2: r = .19."
Cognitive Psychology,Age of acquisition influence on lexical-semantic processes (picture-word interference),"The pictures of objects whose concept is acquired earlier show smaller semantic interference with simultaneously appearing semantically related words, compared to when the task is done using pictures of objects whose concept is acquired later",Experiment 2: ηp² = 0.40. 
Cognitive Psychology,Age of acquisition influence on lexical change,"In contrast to the meaning of late-acquired words,** **the meaning of early-acquired words are less likely to change over time in the conceptual representation of the speaker and community",Beta = .120.
Cognitive Psychology,Age of acquisition influence on learning (conceptual learning),"The earlier a concept is learned, the more likely the concept will be more strongly consolidated and more likely to be recalled",ηp2  = 0.17 [ηp2 calculated from reported F statistic and converted using this [conversion](https://haiyangjin.github.io/2020/05/eta2d/#from-cohens-d-to-partial-eta-squared)].
Cognitive Psychology,Age of acquisition influence on learning (procedural learning),Age of acquisition influence on learning (procedural). **The order of learning new actions of a procedures influences the speed and accuracy of recalling the correct position,ηp2  = 0.23[ηp2 calculated from reported F statistic and converted using this[ conversion](https://haiyangjin.github.io/2020/05/eta2d/#from-cohens-d-to-partial-eta-squared)].
Cognitive Psychology,Frequency effects on memory - influence on free recall (pure block),High frequency items are recalled more accurately than low-frequency items when high-frequency items are presented in a separate block and low-frequency items are presented in a separate block,ηp² = .05 [ηp2 calculated from reported F statistic and converted using this[ conversion](https://haiyangjin.github.io/2020/05/eta2d/#from-cohens-d-to-partial-eta-squared)].
Cognitive Psychology,Frequency effects on memory - influence on free recall (mixed block),High-frequency items are recalled more accurately than High-frequency items when early-acquired items are mixed with late-acquired items in a block,ηp² = 0.26 [ηp2 calculated from reported F statistic and converted using this[ conversion](https://haiyangjin.github.io/2020/05/eta2d/#from-cohens-d-to-partial-eta-squared)].
Cognitive Psychology,Frequency effects on memory - influence on recognition (mixed block),High-frequency items are recognised more accurately than low-frequency items,ηp² = .03 [ηp2 calculated from reported F statistic and converted using this[ conversion](https://haiyangjin.github.io/2020/05/eta2d/#from-cohens-d-to-partial-eta-squared)].
Cognitive Psychology,Frequency influence on the pre-conceptual stages of lexical retrieval (progressive demasking),"Frequency influences the pre-conceptual stages of lexical retrieval (progressive demasking). **High-frequency items are identified more accurately than low-frequency items, using a progressive demasking task. A progressive demasking task is a type of perceptual identification task where participants are presented with a series of words that are gradually revealed over time and their ability to identify words at each stage of the task is measured. Words learned at an earlier age are thought to be easier to demask than those learned later in life, perhaps because the individual has gained more experience and exposure to the word, which can make it easier to recognize",Experiment 1: Beta = 0.31; Experiment 2: Beta = 0.41. 
Cognitive Psychology,Frequency influence on the pre-conceptual stages of lexical retrieval (object decision),The age at which one acquires the concept of  an object does not contribute to the speed and accuracy of recognising whether an object is a real object or not a real world object that has chimeric features,Beta = .021.
Cognitive Psychology,Age of acquisition influence on the pre-conceptual stages of lexical retrieval (category verification),"The frequency that a person encounters a word or object does not contribute to the speed and accuracy of category verification during a semantic categorisation task (where objects have to be decided whether they represent one group or another, e.g. tools vs. furniture",Beta = -2.67.
Cognitive Psychology,Frequency influence on the pre-conceptual stages of lexical retrieval (category falsification),"The frequency that a person encounters a word or object does not contribute to the speed and accuracy of category falsification (i.e. deciding that a different word and the picture of the acquired concept do not match; e.g. the picture of the acquired concept of a rabbit, paired with the non-matching word “mouse”",: Beta = -3.69.
Cognitive Psychology,Frequency influence on semantic decision,High-frequency semantic concepts are categorised more quickly and accurately than low-frequency concepts,Experiment 2: ηp2  = 0.29 [ηp2 calculated from reported F statistic and converted using this[ conversion](https://haiyangjin.github.io/2020/05/eta2d/#from-cohens-d-to-partial-eta-squared)].
Cognitive Psychology,Frequency influence on the conceptual stages of lexical retrieval in opaque languages (spoken picture naming in opaque languages),"Frequency influence on the conceptual stages of lexical retrieval in opaque languages (spoken picture naming in opaque language). **High-frequency objects are named more quickly and accurately than low-frequency objects in opaque languages or deep orthography (i.e. spelling-sound correspondence is not direct where one is able to pronounce the word correctly based on the spelling; e.g. English, French","ratings: Thorndike-Lange: r = .883, Kucera-Francis: r = .826."
Cognitive Psychology,Frequency influence on the conceptual stages of lexical retrieval in logographic languages (spoken picture naming in logographic languages),High-frequency names of objects do not differ in naming latencies to low-frequency names in logographic languages such as Japanese and Chinese,"Experiment 1: beta = not reported, Experiment 2: beta = not reported."
Cognitive Psychology,Frequency influence on the conceptual stages of lexical retrieval in transparent languages (spoken picture naming in transparent languages),"Frequency influence on the conceptual stages of lexical retrieval in transparent languages (spoken picture naming in transparent language). **High-frequency objects are named more quickly and accurately than low-frequency objects in transparent languages or shallow orthography (i.e. spelling-sound correspondence is direct where one is able to pronounce the word correctly based on the spelling; e.g. Spanish, Turkish, Italian",beta = -37.46.
Cognitive Psychology,Frequency influence on the conceptual stages of lexical retrieval (written picture naming),High-frequency object names do not significantly differ in terms of written latencies to low-frequency names,ηp2  = 0.04[ηp2 calculated from reported F statistic and converted using this[ conversion](https://haiyangjin.github.io/2020/05/eta2d/#from-cohens-d-to-partial-eta-squared)].
Cognitive Psychology,Frequency influence on the conceptual stages of lexical retrieval (typing),"Frequency influence on the conceptual stages of lexical retrieval   (typing). **The frequency of the object does not contribute to typing latencies. Typing allows more precise measure for the response execution, while written picture naming is a measure for lexical retrieval",RT: n.s. beta = not reported; accuracy: beta = not reported.
Cognitive Psychology,Frequency influence on the post-lexical stages of lexical/sublexical retrieval (delayed spoken word naming),"Early-acquired words should not differ from late-acquired words, when using delayed word naming. This enables researchers to assess if the lexical/sublexical effects result at an articulatory level",F &lt; 1.
Cognitive Psychology,Word frequency influence on lexical retrieval (written word naming),"High-frequency words are written and spelled more quickly and accurately than low-frequency words. In contrast to written picture naming, written word naming involves access to the lexical and sublexical pathways that are not accessed in typing or written picture naming",Experiment 4b: d = 0.33 [d calculated from reported t statistic and converted using this[ conversion](https://haiyangjin.github.io/2020/05/eta2d/#from-cohens-d-to-partial-eta-squared)]. 
Cognitive Psychology,Frequency influence on lexical retrieval (Immediate spoken word naming in opaque language),"Frequency influence on lexical retrieval in opaque languages (Immediate spoken word naming in opaque language). **High-frequency  words are named more quickly and accurately than low-frequency words in opaque languages or deep orthography (i.e. spelling-sound correspondence is not direct where one is able to pronounce the word correctly based on the spelling; e.g. English, French",ηp2  = 0.23 [ηp2 calculated from reported F statistic and converted using this[ conversion](https://haiyangjin.github.io/2020/05/eta2d/#from-cohens-d-to-partial-eta-squared)].
Cognitive Psychology,Frequency influence on lexical retrieval  (Immediate spoken word naming in transparent language),"Frequency influence on lexical retrieval (Immediate spoken word naming in transparent language). **High-frequency words are named more quickly and accurately than low-frequency words in transparent languages or shallow orthography (i.e. spelling-sound correspondence is direct where one is able to pronounce the word correctly based on the spelling; e.g. Italian, Spanish",d = 0.69.
Cognitive Psychology,Frequency influence on lexical retrieval (spoken character naming in logographic languages),Frequency influence on lexical retrieval in logographic languages (spoken character naming in logographic languages). **High-frequency characters are named more quickly and accurately than low-frequency characters in logographic languages such as Japanese and Chinese,"word frequency: beta = -0.098, character frequency, beta = 0.159."
Cognitive Psychology,Frequency influence on speeded phonological retrieval (speeded spoken word naming),"Frequency influence on speeded phonological retrieval. **High-frequency words are responded to more quickly and accurately than low-frequency words, using a speeded naming paradigm, where participants must name the items as quickly as possible within a short timeframe (e.g. 400 milliseconds). This effect is argued to reduce the influence of semantics on phonological activation, which is argued to accumulate over the word naming process",ηp2  = 0.69[ηp2 calculated from reported F statistic and converted using this[ conversion](https://haiyangjin.github.io/2020/05/eta2d/#from-cohens-d-to-partial-eta-squared)].
Cognitive Psychology,Frequency influence on lexical retrieval (auditory lexical decision task),"High-frequency words are heard and responded to more quickly and accurately than low-frequency words, using auditory lexical decision tasks where participants have to judge whether they heard a real word or not","kindergarten children: r = -.331, first grade children: r = -.156, third grade children: r = -.235, adults: r = -.329 "
Cognitive Psychology,Frequency influence on lexical retrieval (visual lexical decision in opaque languages),"High-frequency words are seen and responded more quickly and accurately than low-frequency words in  opaque languages or deep orthography (i.e. spelling-sound correspondence is not direct where one is able to pronounce the word correctly based on the spelling; e.g. English, French), using visual lexical decision task. Participants have to decide whether they saw a word or not","r: KF1 = 0.68. KF2 = 0.68, KF3 = 0.71."
Cognitive Psychology,Frequency influence on lexical retrieval (Visual lexical decision in transparent languages),"Frequency influence on lexical retrieval  (Visual lexical decision in transparent language). **High frequency words are responded more quickly and accurately than low frequency words in transparent languages or shallow orthography (i.e. spelling-sound correspondence is direct where one is able to pronounce the word correctly based on the spelling; e.g. Spanish, Turkish, Italian",ηp2 = 0.74 [ηp2 calculated from reported F statistic and converted using this[ conversion](https://haiyangjin.github.io/2020/05/eta2d/#from-cohens-d-to-partial-eta-squared)].
Cognitive Psychology,Frequency influence on lexical retrieval (Visual lexical decision in logographic languages),"High frequency logograms are responded more quickly and accurately than low frequency logograms in logographic languages such as Chinese and Japanese, using a visual lexical decision task",ηp² = 0.34 [ηp2 calculated from reported F statistic and converted using this[ conversion](https://haiyangjin.github.io/2020/05/eta2d/#from-cohens-d-to-partial-eta-squared)].
Cognitive Psychology,Frequency influence on silent reading (eye-tracking),"High-frequency words show shorter fixations, gaze and total reading times than low-frequency words in sentences and paragraphs, using eye-tracking","First fixation: beta = -6.03, Single fixation: beta = -6.01, Gaze duration: beta = -8.46, Total duration: beta = -10.72."
Cognitive Psychology,Frequency on lexical-semantic processes (translation task),"Compared to low-frequency words, high-frequency words in a native or other language are translated more quickly to the other language or the native language, respectively","L1 AoA and translate to L1: r = -.67, L1 AoA and translate to L2: r = -.127."
Cognitive Psychology,Frequency influence on lexical-semantic processes (picture-word interference),"The word distractor more frequently show smaller semantic interference with simultaneously appearing semantically related words, compared to when the task is done with words encountered less frequently",Experiment 2: ηp² = 0.27 [ηp2 calculated from reported F statistic and converted using this[ conversion](https://haiyangjin.github.io/2020/05/eta2d/#from-cohens-d-to-partial-eta-squared)].
Cognitive Psychology,Frequency influence on lexical change,"In contrast to the meaning of early-acquired words,** **the meaning of high-frequency words are less likely to change over time in the conceptual representation of the speaker and community","English: r = -0.37; Spanish, r = -0.35; Russian, r = -0.41; and Greek, r = -0.32."
Cognitive Psychology,Lateralisation of emotional processing with a chimeric face procedure (complete),Lateralisation of emotional processing with a chimeric face procedure**. Participants are shown two faces: a neutral and emotional face on either the left or right side. There is a left-sided bias when choosing the face that presents itself as happy,"left-handers: d = 0.30, right-handers: d =  0.69 [d calculated from reported t statistic and converted using this[ conversion](https://haiyangjin.github.io/2020/05/eta2d/#from-cohens-d-to-partial-eta-squared)]."
Cognitive Psychology,Asymmetries in visual search (complete),"Asymmetries in visual search. **Participants are faster to respond to unknown targets defined by the presence, not absence, of a feature",ηp2=   0.54 [[calculated using this conversion from F to](https://haiyangjin.github.io/2020/05/eta2d/#conversion-between-cohens-d-and-partial-eta-squared) ηp2]
Cognitive Psychology,Doodling increases intentional memory (complete),Doodling increases intentional memory**. Doodling increases intentional memory related to a pre-recorded audio message,"Intentional memories of party goers: Hedges g = 0.826 [0.04, 1.377], surprise memory test: Hedges’ g = 0.416 [0.205, 1.049] (reported in Dyson 2023). "
Cognitive Psychology,Switching perspective provides new information (complete),Switching perspective provides new information. **Switching perspective provides new information related to a previous passage,"Experiment 1: House story: Buyer – Burglar: r = .15, Buyer-control: r = -.06, Burglar-control: r = .27. Island Story: Florist-Shipwrecked: r = .53, Florist-control: r = -.18, Shipwrecked-Control: r = -.07. Experiment 2: House story: Buyer-Buyer: r = .16, Buyer-Burglar: r = .33, Buyer-Control: r = .41, Burglar-Buyer: r = -.01, Burglar-Burglar: r = .57, Burglar-Control: r = .48, Control-Buyer: r = -0.01, Control-Burglar: r = -.26, Control-Control: r = .48. Island Story: Florist-Florist: r = .33, Florist-Shipwrecked: r = .30, Florist-Control: r = .18, Shipwrecked-Florist: r = .13, Shipwrecked-Shipwrecked: r = .37, Shipwrecked-Control: r = .29, Control-Florist: r = -0.04, Control-Shipwrecked: r = .11, Control-Control: r = .49."
Cognitive Psychology,Better than chance recognition of old object pairs (complete),Better than chance recognition of old object pairs**. There is an above-chance recognition of old objects in an old-new pairs when presenting context of state pairs,ηp2 =   0.30 [[calculated using this conversion from F to](https://haiyangjin.github.io/2020/05/eta2d/#conversion-between-cohens-d-and-partial-eta-squared) ηp2].
Cognitive Psychology,Worse performance after feedback than no feedback (complete),Worse performance after feedback than no feedback**. Performance following ‘correct’ / ‘incorrect’ feedback is worse than providing no feedback,not reported. 
Cognitive Psychology,Shift behaviour after losses than wins (complete),Shift behaviour after losses than wins. **The percentage of shift behaviour is larger following losses relative to wins,"Hedges g = 0.788 [0.379, 1.228] (reported in Dyson 2023). "
Cognitive Psychology,Letter categorisation after rotation (complete),Letter categorisation after rotation. **Participants take longer to complete** **letter categorization as the letter is rotated away from its original/canonical position,not reported.
Cognitive Psychology,Production effect on free recall in pure list,"Words produced are unlikely to be recalled than words heard. This occurs when the two conditions are presented in different lists. For instance, lists containing only silently read or only read aloud items","Experiment 1: t &lt; 1, Experiment 2: t &lt; 1."
Cognitive Psychology,Production effect on free recall in mixed list,"Words produced are more likely to be recalled than words heard. This occurs when the two conditions are presented in the same list. For instance, list 1 has items both silently read and read aloud","Experiment 1: d = 1.6, Experiment 2: d = 1.89."
Cognitive Psychology,Social production effect on free recall,"Words produced are more likely to be recalled than words heard. However, the effect is smaller when the word is produced by the another person, as opposed to the self","Experiment 1 - η2= 0.73, Experiment 2 - ηp2= 0.47.  "
Cognitive Psychology,Production effect in text reading,Words produced are more likely to be recalled than words heard when read as a sentence,ηp2 = 0.16 
Cognitive Psychology,Syntactic predictability in young adults,Young adults are more likely to be facilitated during reading when the sentence is presented with an _either _than when the sentence does not have an _either _included,"First fixation: By-subject: ηp2 = 0.41 [ηp2 calculated from reported F statistic and converted using this[ conversion](https://haiyangjin.github.io/2020/05/eta2d/#from-cohens-d-to-partial-eta-squared)], by-item: ηp2 = 0.69 [ηp2 calculated from reported F statistic and converted using this[ conversion](https://haiyangjin.github.io/2020/05/eta2d/#from-cohens-d-to-partial-eta-squared)], First fixation: By-subject: ηp2 = 0.41 [ηp2 calculated from reported F statistic and converted using this[ conversion](https://haiyangjin.github.io/2020/05/eta2d/#from-cohens-d-to-partial-eta-squared)], by-item: ηp2 = 0.69 [ηp2 calculated from reported F statistic and converted using this[ conversion](https://haiyangjin.github.io/2020/05/eta2d/#from-cohens-d-to-partial-eta-squared)], Go-past: By-subject: ηp2 = 0.31 [ηp2 calculated from reported F statistic and converted using this[ conversion](https://haiyangjin.github.io/2020/05/eta2d/#from-cohens-d-to-partial-eta-squared)], by-item: ηp2 = 0.56 [ηp2 calculated from reported F statistic and converted using this[ conversion](https://haiyangjin.github.io/2020/05/eta2d/#from-cohens-d-to-partial-eta-squared)]."
Cognitive Psychology,Syntactic predictability in older adults,Older adults are more likely to be facilitated during reading when the sentence is presented with an _either _than when the sentence does not have an _either _included,"Warren et al.: pre-critical region: d = 0.59 [calculated, using this [conversion](https://haiyangjin.github.io/2020/05/eta2d/#conversion-between-cohens-d-and-partial-eta-squared)], critical region: d = 0.84 [calculated, using this [conversion](https://haiyangjin.github.io/2020/05/eta2d/#conversion-between-cohens-d-and-partial-eta-squared)], post-critical region: not reported but was non-significant. "
Cognitive Psychology,Ego depletion,"Self-control is a limited resource that can be depleted by efforts to inhibit a thought, emotion or behaviour",not reported (calculated d = -1.96 between control and worst condition).
Cognitive Psychology,Dunning-Kruger effect,"A cognitive bias whereby people with limited knowledge or competence in a given intellectual or social domain greatly overestimate their own knowledge or competence in that domain relative to objective criteria or to the performance of their peers or of people in general. Involves five claims, three of which are just popular misunderstandings","not reported. Study 1 on humor (n= 15): difference between the actual and estimated performance of “incompetent” (bottom quartile) participants d= 2.58 [calculated], while for “competent” (top quartile) participants d= -0.55 [calculated]. Study 2 on logical reasoning ( n= 45):  difference between the actual and estimated performance of “incompetent” (bottom quartile) participants d= 5.44 (percieved logical reasoning ability) [calculated], d= 3.48 (test performance) [calculated], while for “competent” (top quartile) participants d= -1.12 [calculated], d= -0.79 (percieved test performance) [calculated]. Study 3 on grammar (n= 84): difference between the actual and estimated performance of “incompetent” (percieved bottom quartile) participants d= 3.42 (percieved ability) [calculated], d= 3.94 (percieved test performance) [calculated], while for “competent” (top quartile) participants d= -1.18 (percieved ability) [calculated], d= -1.27 (perceived test performance) [calculated]. "
Cognitive Psychology,Depressive realism effect,Increased predictive accuracy or decreased cognitive bias among the clinically depressed,"not reported. [d= -0.32 calculated for bias about 'contingency', how much the outcome actually depends on what you do]."
Cognitive Psychology,Hungry judge effect,Massively reduced acquittals just before lunch. Case order isn’t independent of acquittal probability (“unrepresented prisoners usually go last and are less likely to be granted parole”); favourable cases may take predictably longer and so are pushed until after recess; effect size is implausible on priors; explanation involved ego depletion,"d= 1.96, ""the probability of a favourable ruling steadily declines from ≈0.65 to [0.05] and jumps back up to ≈0.65 after a break for a meal"", n=8 judges with n=1122 cases."
Cognitive Psychology,Multiple intelligences,"This theory suggests that there are multiple types of intelligence that can be distinguished from one another, rather than a single general intelligence that underlies all cognitive abilities. Some of the proposed types of intelligence by Gardner are linguistic intelligence, logical-mathematical intelligence, musical intelligence, bodily-kinesthetic intelligence, interpersonal intelligence, intrapersonal intelligence, and naturalistic intelligence More broadly, this theory can be taken to suggest people have different cognitive strengths and weaknesses","No empirical data collected [Allix, [2000](https://journals.sagepub.com/doi/pdf/10.1177/000494410004400306); Lubinski & Benbow, [1995](https://my.vanderbilt.edu/smpy/files/2013/02/Empiricism1995.pdf); Sternberg 1994; Waterhouse, [2006](https://www.tandfonline.com/doi/abs/10.1207/s15326985ep41041); Gardner acknowledged lack of empirical data, [2004](https://journals.sagepub.com/doi/abs/10.1111/j.1467-9620.2004.00329.x) (p. 214)]. "
Cognitive Psychology,Brain training on intelligence - far transfer from daily computer training games to fluid intelligence,"Transfer of knowledge and skills ** **from daily computer training games to fluid intelligence in general, in particular from the Dual n-Back game","d= 0.4 over control, 1-2 days after training."
Cognitive Psychology,Brain training on intelligence - music lessons improve intelligence,"An original experimental study found an increase in IQ for children who received a year of music lessons, compared to children who were randomly assigned to drama lessons or no lessons",d= 1.948.
Cognitive Psychology,Brain training on intelligence - Videogame play enhances psychomotor skills,"Playing videogames (gaming) improves psychomotor skills, which are often operationalised by hand-eye coordination","a significant effect in the motor coordination between active and non-active players across several different tests. Authors don’t report effect sizes, which appear to go up to d ≈ 1.16 (largest effect of all tests). Later g = .99 effect post-calculated by Sala et al. 2018. To be fair, original authors also controlled for the amount of gaming experience and concluded that “no positive relationship was evidenced between eye-hand motor coordination and the length of exposure to video games or the amount of time engaged in video-game play each week.” "
Cognitive Psychology,Brain training on intelligence - Videogame play enhances spatial skills,"Playing videogames (gaming) improves spatial skills, such as cognitive orientation and visualisation in space","For the correlation of gaming experience and spatial visualisation, r (56)= .40; p = 0.001. However, no causal effect was found."
Cognitive Psychology,Brain training on intelligence - Videogame play improves inspection and reaction time,"Playing videogames (gaming) improves the ability to reliably identify and react to stimuli, i.e. inspection and reaction times",g = .53 and g = .46 (post-calculated by Sala et al. 2018).
Cognitive Psychology,Brain training on intelligence - Videogame play improves intelligence (IQ),Playing videogames (gaming) improves intelligence (IQ,g = .6 (post-calculated by Sala et al. 2018).. 
Cognitive Psychology,Brain training on intelligence - Videogame play improves cognitive control and processing,Playing videogames (gaming) improves the processing speed of cognitive tasks,g = .33 (effect post-reported by Sala et al. 2018). 
Cognitive Psychology,Brain training on intelligence - Videogame play improves memory,Playing videogames (gaming) improves various types of memory,Null.
Cognitive Psychology,Bilingual advantages in executive control - Inhibition,Bilingual advantages in executive control. **Speaking two languages improves general cognitive control processes (executive control,r = .22 ± .48. 
