Discipline,Effect,Description,Replication effect size
Developmental Psychology,Mutual exclusivity bias,"When presented with two objects, one of which has a known label and one which does not, infants (by ~20mo) are more likely to choose the object without a known label when prompted with a novel label","Lewis et al.: _d_=1.27 [0.99, 1.55]."
Developmental Psychology,Mutual exclusivity bias - bilinguals,Mutual exclusivity bias in bilinguals**. Bilingual (and multilingual) infants exhibit delayed and/or lower mutual exclusivity bias than monolingual infants,Lewis et al.: _β_=0.61.
Developmental Psychology,Abstract rule learning,"After training on strings on stimuli generated from a particular repetition pattern (e.g., AAB), young infants attend longer to novel stimuli generated from a novel pattern (e.g., ABA) than novel stimuli generated from the original pattern","Rabagliati et al.: _g_=0.25 [0.09, 0.40]."
Developmental Psychology,Theory of mind – below-4 year olds,Theory of mind in below-4 year olds **(false belief). Children under four years of age fail at theory of mind tasks,"Barone et al.: _d_=0.57 [0.33, 0.89]."
Developmental Psychology,Theory of mind – over development,Theory of mind over development** (false belief). Success rate at theory of mind tasks increases over age within the first 6 years of life,"Barone et al.: _β_=0.08 [0.0.1, 0.15] (per month). Wellman et al.: OR=2.94 (per year)"
Developmental Psychology,Preference for prosocial agents,Infants and toddlers prefer prosocial agents over neutral or antisocial agents,"Margoni & Surian: log OR=0.15 [0.11, 0.18]. Schlingloff et al.: log OR=0.00.  Sitch: log OR=0.20. "
Developmental Psychology,Flynn effect,The observed rise over time in standardised intelligence test scores in the successive versions of Stanford-Binet and Wechsler intelligence tests. This effect points toward an increase in “intelligence” in the next generation compared to the previous generation,"Fletcher et al.: 2.80 [2.50, 3.09]. Trashon et al.: 2.93 [2.3, 3.5]. "
Developmental Psychology,Do children overhear to learn new words?,Children were equally good at learning novel words- when they were overhearers as when they were directly addressed,"Floor and Akhtar: not reported. Gampe et al.: addressed: _d_ = 0.55, overhearing: _d_ = 0.86."
Differential Psychology,2D:4D ratio of the fingers,"and its correlation with psychological traits. **This ratio was used as a predictor for different interindividual (e.g., intelligence) and especially gender differences","(all |r| &lt; .04); Aspara et al.:for males _β_ = -.18. Csathó et al.: the relationship between Bem sex role inventory and second to fourth digit ratio, Right hand _b_=0.29, Left hand _b_=0.26 (n.s.), Mean ratio _b_=0.31.  Ferdenzi et al.: _r_2 = [-.25, -.43]. Grisilda et al.: No ES reported. Huh: females _r_ = .50. Jones et al.: no significant association between male 2D:4D and % of male deaths (left hand: _r_ = −0.32, _p_ = .079; right hand: _r_ = −0.20, _p_ = .283). Longman et al.: _r_ = .23 for females, .43 for males. Manning and Fink: _R2_ = .12-.40; no ES for (2021).  Manning et al.: the association of income inequality (operationalized as relative parental income) and children’s 2D:4D, in males: right hand _F_(3,109668)=12.55, _p_&lt;0.0001; left hand _F_(3,109668)=14.86, _p_&lt;0.000; in females: right hand _F_(3,89642)=4.74, _p_=0.003; left hand _F_(3,89642)=4.02, _p_=0.007. Smoliga et al.: _r_ = .28.  Voracek et al.: Critique in general and a great empirical study. The authors show that 2D:4D can be associated with anything, e.g, good luck. They did find a significant association between 2D:4D and “poker hand”. However, they stress that this and similar associations are found simply due to chance only and are one of the reasons for a replication crisis in psychology.  "
Differential Psychology,Personality traits and consequential life outcomes,"Personality traits (i.e., characteristic patterns of thinking, feeling, or behaving that tends to be consistent over time and across relevant situations), particularly the Big Five factors, are linked with consequential individual, interpersonal, and social-institutional outcomes",Soto: Shrank by 20% (_r_ = .06 to .60).
Differential Psychology,Reading prevents cancer,Combining bibliotherapy and short-term individual therapy can reduce the probability of dying from cancer and may prolong lives of those already suffering from cancer.​,NA.
Differential Psychology,Graphology,The analysis of handwriting with the attempt to determine someone’s personality traits,"Furnham and Gunter: not reported. Dazzi and Pedrabissi: Study 1 - Spearman’s rho correlation coefficients between the scores on the Big Five Questionnaire and the graphologists’ ratings of personality traits based on the handwriting samples varied from –.07 to .21, with a mean value of .04 (first graphologist) and .07 (second graphologist).Only one out from 15 coefficients significantly differed from zero; Study 2 - Spearman’s rho correlation coefficients between the scores on the Big Five Questionnaire and the ratings of traits given by the: first graphologist varied from –.11 to .20, with a mean of .05, and only one of 15 coefficients was statistically significant; coefficients of the second graphologist ranged from –.11 to .14, with a mean of .03, and no single coefficient turned out to be significantly different from zero."
Judgement and Decision Making/Behavioural Economics,Default effect,"In a choice scenario between two alternatives, when an alternative is presented as a default option, people stick with it rather than change it. For example, 'Opt Out' default organ donation policies increase organ donations",DellaVigna & Linos: Nudge effects in the published literature tends to report false positives and inflated effect sizes. Chandrasehkar et al.: OR=1.38 to OR = 1.67​.
Judgement and Decision Making/Behavioural Economics,Decoy effect,"alternatives: asymmetric dominance; attraction effect). The Decoy Effect is a cognitive bias in which an individual's preference between two options is influenced by the presence of a third, asymmetrically dominated  option (i.e., a decoy similar but inferior to one of the original options). Individuals are more likely to choose the option that is similar to the decoy option than if the decoy were absent. Decoy effect has been replicated in different studies and contexts, though the magnitude of the effect can vary, particularly depending on the specific features of the options being considered and the context in which the decisions are being made",Heath and Chatterjee: not reported for overall decoy effect. Hu and Yu: not reported. Slaughter et al.: not reported. 
Judgement and Decision Making/Behavioural Economics,Nudges,Choice architecture interventions that promote beneficial decisions,"Maier et al.: re-analysed the data reviewed by Mertens et al. 2021 and found no nudging effect after adjusting for publication bias, _d _= 0.00 to _d _= 0.14. Mertens et al.: conducted a meta-analysis on nudges and found medium effect size across all types of nudges; they conducted several publication bias tests, the most severe indicated a very small but significant effect size; _d _= 0.37 to _d _= 0.46. "
Judgement and Decision Making/Behavioural Economics,Risky choice framing effect,"term used by Levin et al., 1998) (framing effect in risky-decision making). Under loss-frame, people are risk-seeking, whereas under gain-frame, people are risk-averse. In framing studies, logically equivalent choice situations are differently described and the resulting preferences are studied. In risky choice problems, the way a choice is presented influences the decision (e.g. saving 10 people out of 100 vs losing 90 people out of 100","Klein et al.: _d_=.60 [0.53, 0.67]. Kühberger: The author finds that certain characteristics of framing studies are crucial to getting a consistent framing effect, but that the closer a methodology is to the original methodology, the better chance to replicate the original effect, _d_ = .308. Steiger and Kühberger: _d_ = .522 to 0.56 (with only 81 of the 136 studies). "
Judgement and Decision Making/Behavioural Economics,Risk and goal message framing,"a) For illness detection behaviours, loss framing (presenting information of negative consequences with undesirable behaviours / without desirable behaviours) would be more effective than gain framing (presenting information of benefits through engaging in desirable behaviours) in encouraging healthy attitudes, intentions, and behaviours (perhaps because illness detection behaviours are riskier, Rothman and Salovey, 1997), whereas b) for health-affirming behaviours, gain framing would be more effective than loss framing in motivating healthy attitudes, intentions, behaviours (perhaps because health-affirming behaviours are less risky, Rothman and Salovey, 1997","Cox et al.:  _ηp2_=0.03 [0.00, 0.12], non-significant, but may be due to limited power. van Riet et al.: criticised reasoning of applying Kahneman and Tversky (1981) Prospect Theory (which was more suitable and applicable for risky choice framing) to goal message framing; they also reviewed direct empirical and meta-analytical evidence, and it appears the evidence of risk-framing hypothesis in message framing is not conclusive."
Judgement and Decision Making/Behavioural Economics,Status quo effect,"status quo bias). A cognitive bias that leads people to prefer things to stay the same, even when change may be beneficial, thus a preference for the current state of affairs",Bostrom and Ord: no ES (replicated).  Godefroid et al.: NA. Johnson and Goldstein: no ES (but replicated as default effect). Xiao et al.: Cohen’s _h_ from .45 to .62. 
Judgement and Decision Making/Behavioural Economics,Temporal action-inaction effect,"The proposed phenomenon that people associate or experience stronger regret with action compared to inaction in the short-term, but stronger regret with inaction compared to action in the long-term. ​","Bonnefon and Zhang: The intensity of recent regrets is predicted by the consequences of the behaviour, and especially so for actions. The intensity of distant regrets is predicted by the consequences of the behaviour and by its justification, the effect of justification being stronger for actions than for inactions; failed to find support for temporal pattern.  Feldman et al.: Participants reported more inaction than action regrets, and, contrary to prior research findings, regrets produced by actions and inactions were equally intense; failed to find support for temporal pattern. Towers et al.: Although regrets of inaction were more frequent than regrets of action, regrets relating to actions were slightly more intense; failed to find support for temporal pattern.  Yeung and Feldman: Study 1: _V_ = 0.25, Study 3: _V_ = 0.15 to _V_ = 0.23, Study 4: _V_ = 0.10 to _V_ = 0.24, Study 5: _V_ = 0.04 to _V_ = 0.05. Zeelenberg et al.: found support for temporal pattern of regret with real-life experience studies; when prior outcomes were positive or absent, people attributed more regret to action than to inaction; however, following negative prior outcomes, more regret was attributed to inaction, a finding that the authors label the _inaction effect_. "
Judgement and Decision Making/Behavioural Economics,Money market versus goods/social market,"The money market relationship refers to an exchange in which effort level is determined based on the level of compensation. By contrast, the social market relationship is an exchange in which effort level is most influenced by altruistic motivations rather than the compensation level. Heyman and Ariely (2004) proposed and showed that when the former is primed with monetary compensation, the more compensation they receive, the more effort they displayed. Yet, effort level did not vary depending on the level of compensation when the latter is primed with non-monetary compensation (i.e., goods), effort level does not depend on compensation level. ​","Imada et al.: replicated the original finding that people expect others to be more willing to help when they are offered a medium amount of cash compared to a small amount of cash; contrary to Heyman and Ariely 2004, they found that people expect others to be more willing to help when they are offered with medium amount of goods compared to small amount of goods; the effect size (medium vs. small) for money was much larger than that for goods, and their replications overall supported the original claim that the sensitivity to compensation level differs depending on money vs. social market relationships; Study 1: Money market: _d_ = -1.25 [-1.43, -1.06]; Social market: _d_ = -0.43 [-0.60, -0,26]; Study 2: Money market: _d_ = -1.30 [-1.39, -1.22]; Social market: _d_ = -0.87 [-0.94, -0.79]."
Judgement and Decision Making/Behavioural Economics,Risk benefits negative association,Risk and benefit perceptions **(affect heuristic). Increasing risks of a hazard leads people to judge its benefits as lower while vice versa increasing benefits leads people to judge its risk as lower.​,"Efendić et al.: Study 1: _r_ = -0.87 [-0.96, -0.59]; Study 2: _r_ = -0.84 [-0.95, -0.50]."
Judgement and Decision Making/Behavioural Economics,Temporal value asymmetry,TVA). The phenomenon that contemplating future events elicits stronger emotions than contemplating past events has been coined “temporal value asymmetry” (TVA).  TVA was robust in between-persons comparisons and absent in within-persons comparisons,"Caruso et al. (within-subject analysis): Study 1: Monetary Valuation: _d_ = 0.03 [-0.24, 0.30]; Difficulty: _d_ = 0.01 [-0.27, 0.26]; Qualification: _d_ = 0.18 [-0.09, 0.45]; Study 4 (DV = Monetary Value): Relevance: _ηp2_ =  0.00 [0.00, 0.02]; Temporal Location: _ηp2_ =  0.00 [0.00, 0.02]; Relevance*Temporal Location: _ηp2_ =  0.00 [0.00, 0.01]; Study 4 (DV = Stress): Relevance: _ηp2_ =  0.01  [0.00, 0.04]; Temporal Location: _ηp2_ =  &lt;0.001 [0.00, 0.01]; Relevance*Temporal Location: _ηp2_ =  0.001 [0.00, 0.02]. Caruso (within-subject analysis): Study 1: Fairness: _d_ = 0.13 [-0.06, 0.32]; Negative Emotions: _d_ = 0.01 [-0-19, 0.20]; Brand’s Intentions: _d_ = -0.09 [-0.28, 0.10]. Kvam et al.: Our work provides a direct counterpoint to both the empirical phenomenon and this theoretical explanation for the temporal value asymmetry. First, we show systematic reversals of the temporal value asymmetry where participants sometimes preferred past outcomes. There were multiple instances where participants indicated that they preferred payoffs that could have occurred in the past to ones that could occur in the future in perfectly matched pairs – where the same dollar amount could be received in either the past or future at the same temporal distance (X days ago vs X days from now). Second, these reversals occurred as both the magnitude of and distance to the past / future payoffs were manipulated. Participants favoured past events when payoffs were small and temporal distance was large ($11, 2 years ago / from now), and favoured future events when payoffs were large or temporal distance was small ($10k, 7 days ago / from now). This may explain apparent replication failures related to the temporal value asymmetry (El Halabi et al., 2021) – not because the phenomenon is not real, but because different stimuli can cause it to reverse, and thus on average, fail to appear. Third and finally, a model comparison showed that framing the temporal value asymmetry in terms of hyperbolic (or even the more general hyperboloid) discounting is insufficient to account for the patterns of behaviour we observed."
Judgement and Decision Making/Behavioural Economics,Exceptionality effect,"emotional amplification, normality bias, exceptional-routine effect). The affective response to an event is enhanced if its causes are abnormal. Exceptionality effect is the phenomenon that people associate stronger negative affect with a negative outcome when it is a result of an exception (abnormal behaviour) compared to when it is a result of routine (normal behaviour). The exceptionality enhances the response to an event for the emotion of regret, self-blame, the cognitive response for victim compensation and offender punishment","Kutscher and Feldman: _d _= 1.58 to _d _= 3.12. Fillon et al.: _g _= 0.41 to _g _= 0.79; the effect of exceptionality on counterfactuals was not significant and close to zero (_k_ = 5, _g_ = 0.39 [0.08, 0.70]). They also found that the effect for between-participants design is half the size of studies with a within-subject design."
Judgement and Decision Making/Behavioural Economics,Temporal differences in trait self-ascriptions,"Much like how we are more likely to ascribe dispositional traits, as opposed to situational variables, when explaining the behaviour of other people compared to ourselves, the same asymmetry can also be observed when making trait assessments about our temporally distant selves (e.g. past or future). People are more likely to ascribe dispositional traits, compared to situational explanations, when making judgements about their past or future self","Adelina and Feldman: Social distance: _f_ = 0.10 [0.03, 0.16]; Self-enhancement: _f_ = 0.88 [0.50, 1.26], ratio increases with temporal distance, _f_ = 0.33 [0.22, 0.42]; Tempn the psychology of experimental surprise oral distance: _f_ = 0.02 [0.00, 0.06]."
Judgement and Decision Making/Behavioural Economics,Bias Blind Spot,The phenomenon that people perceive stronger biases for others compared to self. Pronin (2002) found support for self-other asymmetries in perceived biases but failed to find support for self-other asymmetries in perceived personal shortcomings. Chandrashekar et al. (2021) found support for self-other asymmetries for both biases and personal shortcomings.​,"Chandrashekar et al.: _d_ = -1.00 for biases, _d_ = -0.34 for personal shortcomings."
Judgement and Decision Making/Behavioural Economics,Hindsight Bias,Hindsight bias refers to the tendency to perceive an event outcome as more probable after being informed of that outcome,Chen et al.: _d_=0.05 to _d_=0.32.
Judgement and Decision Making/Behavioural Economics,Disjunction Effect,"The sure-thing principle (STP) posits that if decision-makers are willing to make the same decision regardless of whether an external event happens or not, then decision-makers should also be willing to make the same decision when the outcome of the event is uncertain. People regularly violate the STP – uncertainty about an outcome influence decisions.​","“choice under risk” problem: Kühberger et al.: ES not reported but failed to replicate the “choice under risk” problem in four experiments. Lambdin & Burdsal:  ES not reported but failed to replicate. Ziano et al.: Cramer’s _V_ = 0.11 [- 0.07, 0.20]) (not replicated).  “paying to know“ problem: Ziano et al.: Cramer’s _V_ = 0.30 [0.24, 0.37] (replicated)."
Judgement and Decision Making/Behavioural Economics,Money Illusion,"The inability of individuals to account for inflation or deflation when making decisions. If inflation, money loses value over time, leading to people to fail to consider the impact of inflation or real value of money","Ziano et al.: Problem 1: _V_ = 0.28 [0.21, 0.36]; Problem 2: 70% [66%, 73%]); Problem 3; buy:  47% [43%, 51%] and sell: 43% [39%, 47%]); and Problem 4: _V_ = 0.17 [0.10, 0.25])."
Judgement and Decision Making/Behavioural Economics,Choosing versus rejecting,"Framing effects, compatibility principle). People are inconsistent in their preferences when faced with choosing versus rejecting decision-making scenarios","Chandrashekar et al.: _d_ = 0.01. Ganzach: Experiment 1 - _ηp_²= 0.065 (calculated from the reported _F_(1,39)=6.6, _p_&lt;.01 using this[ conversion](https://haiyangjin.github.io/2020/05/eta2d/#from-cohens-d-to-partial-eta-squared)),  Experiment 2 - _ηp_²= 0.105 (calculated from the reported _F_(1,94)=11,_p_&lt;.001 using this[ conversion](https://haiyangjin.github.io/2020/05/eta2d/#from-cohens-d-to-partial-eta-squared))."
Judgement and Decision Making/Behavioural Economics,Conjunction bias,"conjunction fallacy). The fallacy consists of judging the conjunction of two events as more likely than any of the two specific events, violating one of the most fundamental tenets of probability theory",Chandrashekar et al.: Cohen’s _d_ = 0.49 to -0.17. Hertwig & Gigerenzer: people infer non mathematical meanings of the polysemous term ‘probability’ in the classic Linda conjunction problem; one can design contexts in which people infer mathematical meanings of the term and are therefore more likely to conform to the conjunction rule.
Judgement and Decision Making/Behavioural Economics,Direct versus indirect harm,"Individuals believe that causing indirect harm is more moral than direct harm, regardless of outcomes, intentions, or self-presentational concern","Ames and Fiske: Experiment 1: _d_ = 0.74 [0.29, 1.19] (estimated using descriptive statistics) (replicated); Experiment 2: _d_ = 0.22 [-0.18, 0.63] (estimated using descriptive statistics) (not replicated); Experiment 3: _d_ = 0.48 [0.03, 0.93] (estimated using descriptive statistics) (replicated).  Ziano et al.: Experiment 1: Scenario 1: _d_ = 0.55 [0.24, 0.86] (replicated); Scenario 2: _d_ = 0.41 [0.11, 0.71] (replicated); Experiment 2: Scenario 1: _d_ = 0.24 [0.13, 0.35] (replicated, but smaller); Scenario 2: _d_ = 0.36 [0.24, 0.47] (replicated); Meta-Analysis: Scenario 1: _d_ = 0. 47 [0.18, 0.75] (replicated); Scenario 2: _d_ = 0. 46 [0.26, 0.65] (replicated)."
Judgement and Decision Making/Behavioural Economics,Distinction bias,"When evaluating how happy options would make them, people who evaluated the options simultaneously predicted greater happiness for the good options and lower happiness for the bad options, whereas people who evaluated the options separately (i.e., only evaluated one option) showed little difference between the options","Anvari et al.: Study 1: _d_ = 2.60 and 4.13; Study 2: _d _= 0.45, 0.02, 1.55, and 0.02."
Judgement and Decision Making/Behavioural Economics,Inaction inertia effect,"Forgoing an offer that is less appealing, but still desirable, than a previous offer. For example, if you missed the opportunity to attend a skiing trip that was offered at £40 rather than the usual £100​, you would reject the offer of going to the same ski trip when offered for £80 rather than the usual £100","Chen et al.: Experiment 1: Ski resort: _η2_ = .02 [.00, .12] (not replicated), Car: _η2_ = .38 [.13, .54] (replicated), Frequent flyer: _η2_ = .10 [.00, .26] (not replicated), Fitness centre: _η2_ = .20 [.01, .38] (replicated); Experiment 2: Ski resort: _η2_ = .10 [.04, .16] (replicated), Car: _η2_ = .10 [.04, .16] (replicated), Frequent flyer: _η2_ = .02 [.00, .05] (not replicated), Fitness centre: _η2_ = .14 [.07, .21]; Experiment 3: Between-subjects: Ski resort: _η2_ = .06 [.02, .09] (replicated), Car: _η2_ = .05 [.02, .08] (replicated), Frequent flyer: _η2_ = .01 [.00, .03] (not replicated), Fitness centre: _η2_ = .14 [.09, .19] (replicated); Within-subjects (supplementary materials): Ski resort: _η2_ = .10 [.06, .14] (replicated), Car: _η2_ = .06 [.03, .10] (replicated), Frequent flyer:_ η2_ = .00 [.00, .01] (not replicated), Fitness centre:_ η2_ = .16 [.11, .21] (replicated); Meta-Analysis: Large-difference versus small-difference – _d_ = 0.49 [0.32, 0.67] (inaction inertia as described by Tykocinski et al., 1995).  Zeelenberg et al.: Experiment 1: _d = _1.18 [0.69, 1.66] (estimated from test-statistic: _F(1, 76)_ = 26.50, _p_ &lt; .001) (replicated); Experiment 3:_ d = _1.57 [1.05, 2.08] (estimated from test-statistic: _F(1, 76)_ = 46.59, _p_ &lt; .001) (replicated); Experiment 4: _d = _0.63 [0.25, 1.00] (estimated from test-statistic: _F(1, 116)_ = 11.44, _p_ = .001) (replicated); Experiment 5: _d = _1.12 [0.78, 1.46] (estimated from test-statistic: _F(1, 151)_ = 47.48, _p_ &lt; .001) (replicated). "
Judgement and Decision Making/Behavioural Economics,Mere ownership effect,The mere ownership effect refers to an individual's tendency to evaluate an object more favourably merely because he or she owns it,"Białek et al.: _g_ = 0.55 [0.43, 0.66]."
Judgement and Decision Making/Behavioural Economics,Omission Bias,"alternative terms: action-inaction effect). The tendency to view harmful actions as worse than inactions, despite the result being the same","Jamison et al.: Scenario 1: _d _= 0.45 (replicated), Scenario 2: _d_ = 0.47 (replicated). Yeung et al.: The overall effect size was _g_ = 0.45 [0.14, 0.77]; Measure Used: Morality (_k _= 14): _g_ = 0.45 [0.14, 0.77] (replicated); Blame (_k_ = 7): _g _= 0.32 [0.01, 0.64] (replicated); Decision (_k_ = 4): _g _= 0.30 [-0.62, 1.21] (not replicated)."
Judgement and Decision Making/Behavioural Economics,Identifiable victim effect,"Refers to the phenomenon that people are more likely to offer greater help to specific, identifiable victims than to anonymous victims","Lee and Feeley: _ηp 2_ = 0.00 (Study 1), _ηp 2 _=0.01 (Study 3); much weaker and less robust than previously thought, with lots of mixed findings, failed replications, null findings and numerous boundary conditions, overall significant yet modest effect, _r_ = .05; after adjusting for publication bias with robust Bayesian meta-analysis there is evidence against an effect in this meta-analysis.​"
Judgement and Decision Making/Behavioural Economics,Psychophysical numbing,"People prefer to save lives if they are a higher proportion of the total (e.g. do people prefer to save 4,500 lives out of 11,000 or 4,500 lives out of 250,000","Study 1a: _ηp2 _= 0.06, Study 1b: _ηp2 _= 0.21; Study 1c: _ηp2 _= 0.13. "
Judgement and Decision Making/Behavioural Economics,Signing at the top and dishonesty,"Signing a veracity statement at the top, instead of at the end, of a form/document encourages honest reporting",Kristal et al.: no effect of signing first on honest reporting; _d_ = .11 (Study 1); _d_ = -.01 (Study 2); _d_ = .05 (Study 3); _d_ = -.05 (Study 4); _d_ = .01 (Study 5); _d_ = -.04 (Study 6).
Judgement and Decision Making/Behavioural Economics,Loss aversion,"The subjective value of losses exceeds the subjective values of gains. This phenomenon can denote a stronger preference for avoiding losses rather than acquiring gains. Loss aversion is still mostly replicable but with weaker effects for some people and in some situations (see [Mrkva et al., 2020](https://www.alexandria.unisg.ch/260559/2/jcpy.1156.pdf","Brown et al.: λ = 1.955 [1.824, 2.104]. Walasek et al.: λ = 1.31 [1.10, 1.53]. All reported in Nieuwenstein et al.: Abadie et al.: _g_=-0.62 to  _g_=0.22. Acker: _g_ =-0.47. Aczel et al.: _g_ =-0.35. Ashby et al.: _g_ =-0.21 to _g_ =1.48. Bos et al.: _g_ =-0.10. Bos et al.: _g_ =1.48. Calvillo & Penaloza: _g_ =-0.28 to _g_ =-0.09. Dijksterhuis: _g_ =0.24 to _g_ =0.46. Dijksterhuis et al.: _g_ =0.70 to _g_ =0.86. González Vallejo et al.: _g_ =0.00. Hasford: _g_ =0.43. Hess et al.: _g_ =-0.14. Huizenga et al.: _g_ =-0.26 to _g_ =-0.50. Lassiter et al.: _g_ =0.27 to _g_ =0.51. Lerouge: _g_ =0.38 to _g_ =0.47. McMahon et al.: _g_ =0.62 to _g_ =0.67. Messner et al.: _g_ =0.63. Newell et al.: _g_ =-0.50 to _g_ =0.17. Newell and Rakow: _g_ =-0.37 to _g_ =0.31. Nieuwenstein and Van Rijn: _g_ =-0.74 to _g_ =0.87. Nieuwenstein et al.: _g_ =-0.01. Nordgren et al.: _g_ =0.27 to _g_ =0.36. Payne et al.: _g_ =-0.10. Queen&Hess: _g_ =-0.21. Rey et al.: _g_ =0.27. Smith et al.: _g_ =0.25 to _g_ =0.32. Strick et al.: _g_ =0.58 to _g_ =1.21. Thorsteinson & Withrow: _g_ =0.18 to _g_ =0.34. Usher et al.: _g_ =0.78 to _g_ =1.04. Waroquier et al.: _g_ =-0.56 to _g_ =0.35."
Judgement and Decision Making/Behavioural Economics,Effort heuristic,People judge products that took longer time to complete as higher in quality and monetary value,"Ziano et al.: Study 1 MTurk: _d_ = -0.05 [-0.21, 0.11] (liking/quality), _d_ = 0.02 [-0.14, 0.18] (monetary value); Study 1 Prolific: _d_ = 0.23 [0.08, 0.38] (liking/quality), _d_ = 0.08 [-0.07, 0.22] (monetary value); Study 2: _ηp2_=_ _0.02 [0.00, 0.04] (liking/quality), _ηp2 _=_ _0.04 [0.02, 0.07] (monetary value)."
Judgement and Decision Making/Behavioural Economics,Unconscious thought advantage,"“deliberation-without-attention”). The idea that for complex choices (with more features to take into account), not deliberating leads to better decisions (as defined by the research team, i.e., normatively).​","Nieuwenstein & van Rijn: _g _= 0.10, _g _= -0.55, _g _= 0.87, _g _= -0.74. Nieuwenstein et al.: _g _= -0.01, after trim-and-fill, meta-analysis pooled Hedges’ _g_ = 0.018 [−0.10, 0.14]. ​"
Judgement and Decision Making/Behavioural Economics,Self-interest is overestimated,How much personal benefits affect policy preferences and behaviours,"Brick et al.: Overestimation of the importance of payment for blood donation in Study 1, _d_s = 0.59 [0.51, 0.66], 0.57 [0.49, 0.64]; and of smoking status for smoking policy preferences in Study 4, _d_s = 0.75 [0.59, 0.90], 0.84 [0.73, 0.96]."
Judgement and Decision Making/Behavioural Economics,Marshmallow experiment,"self-imposed delay of gratification). A child’s success in delaying the gratification of eating marshmallows or a similar treat is related to better outcomes in later life. ​Outcomes that have been studied include coping, social, and academic competence, substance use, borderline personality features, BMI, executive functioning, and neural activation patterns",Shoda et al.: follow-up study: _r_=.02.​ Watt et al. 2018: academic achievement _r_=.28. 
Judgement and Decision Making/Behavioural Economics,Differential reinforcement of alternate behaviour (DRA),DRA procedures reduce a certain behaviour by reinforcing an appropriate alternative behaviour that serves the same function,Allen and Harris = NA. Hall et al.= NA. Fisher et al.=NA. Hagopian et al.=NA.
Judgement and Decision Making/Behavioural Economics,Differential reinforcement of incompatible behaviour (DRI),DRI** **reinforces a physically incompatible behaviour to replace the unwanted behaviour,Tarpley and Schroeder: NA.
Judgement and Decision Making/Behavioural Economics,Differential reinforcement of low rates of behaviour (DRL),DRL is a technique in which a positive reinforcer is delivered at the end of a specific interval if a target behaviour has occurred at a criterion rate,Deitz & Repp: NA. Deitz: NA. Deitz et al.: NA.
Judgement and Decision Making/Behavioural Economics,Differential reinforcement of other behaviour (DRO),is a reinforcement procedure in which reinforcement is delivered for any response other than a specific target behaviour,"Vollmer et al.: ES not reported. Conyers et al.: ES not reported. All reported in Weston et al.: (PND, proportion of nonoverlapping data, used to calculate effect size) Della Rosa et al.: .46. Doyle et al.: .94. Hammond et al.: .79. Heffernan and Lyons: .97. Lanovaz et al.: .21. Lustig et al.: .88. Moore: .97. Newman et al.: .80. Nuernberger et al.: 1.00. Patel et al.: .97. Quinn et al.: 0.0. Reese et al.: .76. Roane et al.: 1.00. Rozenblat et al.: .89. Shabani et al.: 1.00. Tiger et al.: 1.00. Toussaint and Tiger: .67."
Judgement and Decision Making/Behavioural Economics,Extinction bursts,"Extinction is an intervention procedure to reduce tantrum behaviours, by removing enforcement (eg. ignoring a child crying), and an extinction burst is a temporary increase in the frequency or intensity of that behavior","Arin et al.: Pigeons exhibited aggression towards nearby pigeons or models after being conditioned to peck a response key. This aggression was caused by the transition from food reinforcement to extinction. Various factors influenced the duration and frequency of attack. Katz and Lattal: Response increases relative to baseline during the first 20 min of a 324.75-min extinction session (Experiment 1) or during the first 30-min extinction session (Experiments 2 and 3) were rare and unsystematic. The results reinforce earlier meta-analyses concluding that extinction bursts may be a less ubiquitous early effect of extinction than has been suggested. Lerman and Iwata: Reported an initial increase in the frequency of the target response in 24% of the cases when extinction was implemented. Lerman et al.: Pattern of behaviour is consistent with what has been observed in studies of extinction bursts, where an initial increase in the targeted behaviour is often observed following the introduction of an extinction procedure. "
