Discipline,Effect,Description,Paper title,Paper ref,Link,doi,Paper Notes,Citations,N orig
Social Psychology,Dissenting deviant social rejection effect,Groups reject opinion deviates from future interaction,"Deviation, rejection, and communication",Schachter 1951,https://psycnet.apa.org/record/1951-08043-001,,"experiment, sample size = 198","2209 (GS, November 2022)]​",
Social Psychology,Sex differences in implicit maths attitudes,"College students, especially women, demonstrated negativity toward maths and science relative to arts and language on implicit measures.​","Math = male, me = female, therefore math ≠ me",Nosek et al.2002,https://psycnet.apa.org/doiLanding?doi=10.1037%2F0022-3514.83.1.44,,"study design = experiment, n = 170","1428 (GS, November 2022)]​",170
Social Psychology,Low versus high category scale effect on behaviour self – report,"Low versus high category scale effect on behaviour self-report**. Response scales serve informative functions. The response categories suggest a range of ""usual"" or ""expected"" behaviours, and this information affects respondents' behavioural reports as well as related judgments",Response Scales: Effects of Category Range on Reported Behavior and Comparative Judgments,Schwarz 1985,https://academic.oup.com/poq/article-abstract/49/3/388/1879582?redirectedFrom=fulltext,,"between-subjects design, sample size = 211","450(GS, November 2022)]​",
Social Psychology,Information source on attitudes effect,The source of information has a major impact on how that information is perceived and evaluated,"Prestige, Suggestion, and Attitudes",Lorge and Curtiss 1936,https://www.tandfonline.com/doi/abs/10.1080/00224545.1936.9919891,10.1080/00224545.1936.9919891,"experiment, sample size = 99","242(GS, November 2022)]​",
Social Psychology,Door-in-the-face effect,The door-in-the-face effect occurs when making a larger initial request and then afterwards scaling back and asking a more moderate request increases compliance (with the moderate request) compared to either starting with the moderate request or starting with a small request,Reciprocal concessions procedure for inducing compliance: The door-in-the-face technique,Cialdini et al. 1975,https://doi.org/10.1037/h0076284,10.1037/h0076284,"Between-subjects manipulation of size of initial request, n=72","999(GS, January 2023)",72
Social Psychology,Foot-in-the-door effect,The foot-in-the-door effect occurs when getting people to comply with a very small initial request increases the likelihood that they will agree to a larger request (compared to starting with the larger request,Compliance without pressure: The foot-in-the-door technique,Freedman and Fraser 1966,https://doi.org/10.1037/h0023552,10.1037/h0023552,"between-subjects manipulation of whether or not there is a very small initial request, n=156","2,667(GS, January 2023)",156
Social Psychology,Ingroup-outgroup norm of reciprocity effect,"“When confronted with a decision about allowing or denying the same behaviour to an ingroup and outgroup, people may feel an obligation to reciprocity, or consistency in their evaluation of the behaviours.”",The Current Status of American Public Opinion,"Hyman and Sheatsley, 1950",no URL found,,"experiment, n = NA","161(GS, November 2022)]​",
Social Psychology,Social dominance-status,"verticality effects). Vertical dimension of human relations (such as dominance and submission) and nonverbal behaviour are intimately and fruitfully linked; nonverbal behaviour, such as gazing, smiling, touching, and various body positions can signal high and low verticality","Body Politics: Power, Sex, and Nonverbal Communication",Henley 1977,https://archive.org/details/bodypoliticspowe00henl,,"book/theoretical and anecdotal evidence, n=NA","2284(GS, May 2023)]​",
Social Psychology,Personal cognitive dissonance - free-choice paradigm,"Personal cognitive dissonance, from the cognitive dissonance theory (Festinger, 1957), suggests that an inconsistency between two cognitions (e.g., an attitude and a past behaviour) creates an unpleasant psychological state (i.e., personal dissonance) that the individual is motivated to reduce (e.g., by changing one of the elements to fit the other). This personal cognitive dissonance has been studied in the literature through different paradigms, including the following three main ones: free-choice, induced-compliance and induced-hypocrisy paradigm. The mere act of choosing equally desirable options can arouse dissonance in the individual, because choosing option A implies the rejection of option B (in other words, choosing option A means accepting its advantages but also its disadvantages, but also accepting to deprive oneself of the advantages of option B). In order to reduce dissonance, subjects will increase the perceived gap between options (i.e., spreading of alternatives) by overestimating the chosen option and/or underestimating the rejected option. ​",Postdecision changes in the desirability of alternatives,"Brehm, 1956",https://psycnet.apa.org/record/1957-04251-001?doi=1,,"experimental design, n =225","1987 (GS, February 2023)]​​",225
Social Psychology,Personal cognitive dissonance - induced-compliance paradigm,"In this paradigm, subjects are led to perform, in a context of free choice, an inconsistent act with their own norms or social norms (e.g., agree to perform a counter-attitudinal act). Dissonance can be resolved through multiple modes of reduction (e.g., social support, trivialization, etc.), but attitude change remains the most studied mode of reduction.​",Dissonance arousal: Physiological evidence,Croyle and Cooper 1983,https://doi.org/10.1037/0022-3514.45.4.782,10.1037/0022-3514.45.4.782,"between-subjects design, n1 = 30, n2=30","447 (GS, February 2023)]​",
Social Psychology,Personal cognitive dissonance - induced-hypocrisy paradigm,"Personal cognitive dissonance - Induced-hypocrisy paradigm**. In this paradigm, dissonance is aroused by making individuals aware of the discrepancy between a socially desirable behaviour (e.g., not wasting water; stage 1: normative commitment phase) and their own past transgressive behaviours (e.g., remembering one's past water waste; stage 2: transgression salience phase). Most of the dissonance reduction work is done through behavioural means, and leads subjects to express behavioural intentions, and/or perform behaviours in the direction of the socially desirable behaviours expressed in step 1 (i.e., allowing for the reduction of the inconsistency between the norm, step 1, and the recall of transgressions, step 2).​",Overcoming denial and increasing the intention to use condoms through the induction of hypocrisy,"Aronson et al., 1991",https://doi.org/10.2105/AJPH.81.12.1636,10.2105/AJPH.81.12.1636,"between-subjects design, n = 80","485 (GS, February 2023)]​",80
Social Psychology,Vicarious cognitive dissonance - induced-compliance paradigm,"Vicarious cognitive dissonance, from the cognitive dissonance theory (Festinger, 1957; see “personal cognitive dissonance”), suggests that it would be possible for an individual to experience dissonance vicariously when they witness the performance of inconsistent act (e.g., counter-attitudinal or counter-normative behaviour) on the part of an in-group member with whom they strongly identify. As a personal cognitive dissonance, the inconsistency between two cognitions (e.g., between attitude and observed behaviour) creates an unpleasant psychological state (i.e., vicarious dissonance) that the individual is motivated to reduce (e.g., by changing one of the elements to fit the other). This vicarious cognitive dissonance has been studied in the literature through different paradigms, including the following two main ones: induced-compliance and induced-hypocrisy paradigm. In this paradigm, subjects are led to observe the realisation, by a member of their in-group, of a counter-attitudinal act with their own norms or social norms (e.g., agree to perform a counter-attitudinal act), performed in a context of free choice. Dissonance can be resolved through multiple modes of reduction (e.g., social support, trivialization, ect.), but attitude change remains the most studied mode of reduction.​",Vicarious dissonance: Attitude change from the inconsistency of others,Norton et al. 2003,https://psycnet.apa.org/record/2003-05568-006,,"experimental design, exp 1: n = 50, exp 2 :  n = 43, exp 3: n = 108","344 (GS, February 2023)]​",50 & 43 & 108
Social Psychology,Vicarious cognitive dissonance - induced hypocrisy paradigm,"Vicarious cognitive dissonance - Induced-hypocrisy paradigm**. In this paradigm, subjects are made to observe a member of their group becoming aware of the discrepancy between a socially desirable behaviour (e.g., not wasting water; stage 1: normative commitment phase) and their own past transgressive behaviours (e.g., remembering one's past water waste; stage 2: transgression salience phase). Most of the dissonance reduction work is done through behavioural means, and leads subjects to express behavioural intentions, and/or perform behaviours in the direction of the socially desirable behaviours expressed in step 1 (i.e., allowing for the reduction of the inconsistency between the norm, step 1, and the recall of transgressions, step 2).​",Vicarious hypocrisy: Bolstering attitudes and taking action after exposure to a hypocritical ingroup member,"Focella et al., 2016",https://www.sciencedirect.com/science/article/abs/pii/S0022103115001249?via%3Dihub,,"experimental design, exp 1: n = 161, exp 2 : n = 68, exp 3: n = 64, exp 4: n = 68","34 (GS, February 2023)]​",161 & 68 & 64 & 68
Social Psychology,Impostor phenomenon,"Imposter phenomenon**. People who perform outstandingly both academically and professionally believe that in fact, they are not really bright and that they have fooled anyone who thinks otherwise. This phenomenon might be especially persistent in women. Key conclusion: Therapeutic interventions might help to overcome imposter syndrome",The imposter phenomenon in high achieving women: Dynamics and therapeutic intervention,Clance and Imes 1978,https://psycnet.apa.org/doiLanding?doi=10.1037%2Fh0086006,,"Therapeutic interventions (but not described in detail), n=178. [Citations = 2709 (GS, January 2023)]​.",,178.
Social Psychology,Ability Emotional Intelligence as a Second Stratum Factor of Intelligence,"Ability EI as a factor of intelligence. **Ability EI is a collection of cognitive abilities relating to the recognition, understanding and management of emotions. There have been many controversies in attempting to contextualise Ability EI within models of intelligence/cognitive ability. MacCann et al. (2014) empirically tested multiple models of how various cognitive abilities interact, including hierarchical and bi-factor models, and the data demonstrated closest fit to a hierarchical structure where Ability EI was contextualised as a second-stratum factor. A recent replication repeated this modelling process and drew the same conclusion",Emotional Intelligence is a second-stratum factor of intelligence: evidence from hierarchical and bifactor models,MacCann et al. 2014,https://pubmed.ncbi.nlm.nih.gov/24341786/,,"cross-sectional questionnaire; n = 688. [Citations=320 (GS, January 2023)]​.",,688.
Social Psychology,Matilda effect,Matthew Matilda effect)**.** Male scientists and masculine topics are frequently perceived as demonstrating higher scientific quality,The Matthew Matilda Effect in Science,"Rossiter, 1993",https://doi.org/10.1177/030631293023002004,10.1177/030631293023002004,"theoretical paper, n=NA","114(GS, February 2023)]​",
Social Psychology,Being slightly behind increases chance of winning,Being slightly behind increases the chance of winning.** The original study has found that being slightly behind at halftime increases the chance of winning significantly in professional Basketball.​,Can Losing Lead to Winning?,"Beger et al., Devin, 2011","https://www.jstor.org/stable/25835742#:~:text=Can%20Losing%20Lead%20to%20Winning%3F,-Jonah%20Berger&text=Individuals%2C%20groups%2C%20and%20teams%20who,behind%20can%20actually%20increase%20success.&text=losing%20can%20sometimes%20lead%20to%20winning.",,"natural experiment, N = 11968","271 (GS, February 2023)",11968
Social Psychology,Ethnoracial diversity and trust,Ethnoracial diversity negatively affects trust and social capital,E Pluribus Unum: Diversity and Community in the Twenty-first Century The 2006 Johan Skytte Prize Lecture,Putnam 2007,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1467-9477.2007.00176.x,10.1111/j.1467-9477.2007.00176.x,"observational study, N = 23260","6860 (GS, February 2023)",23260
Social Psychology,Greed moderates relationship between SES and unethical behaviour,"Greed moderates the relationship between SES and unethical behaviour.** The original study found that people of higher socio-economic status are more likely to engage in unethical behaviour, but that this relationship is moderated by greed. When study participants were primed to think positively about greed, those of lower SES became more likely to engage in unethical behaviour than those of higher SES",Higher social class predicts increased unethical behavior,Piff et al. 2012,https://www.pnas.org/doi/10.1073/pnas.1118373109,10.1073/pnas.1118373109,"experiment, N = 90","1273 (GS, February 2023)",90
Social Psychology,Women’s education increasing domestic violence,Women’s education increases domestic violence.** Women with more education report higher levels of psychological violence at home​,For Better or for Worse?: Education and the Prevalence of Domestic Violence in Turkey,Erten and Keskin  2018,https://www.aeaweb.org/articles?id=10.1257/app.20160278,10.1257/app.20160278,"natural experiment (RDD/IV), N = 1462","153 (GS, February 2023)",1462
Social Psychology,Easterlin paradox,"national income associated with happiness). When comparing across countries, higher levels of income are associated with higher levels of subjective well-being, yet this association does not show up across time","Does Economic Growth Improve the Human Lot? Some Empirical Evidence,",Easterlin 1974,http://graphics8.nytimes.com/images/2008/04/16/business/Easterlin1974.pdf,,"observational study, n=25 time series observations for the United States from 1946-1970","8686(GS, February 2023)]​",25
Social Psychology,Humour style clusters,"A number of works have attempted to determine whether individuals can be categorised into different types of humour user. The first was by Galloway (2010) and suggested four types of humour user through use of cluster analysis: (1) above average on all of the styles, or (2) below average on all of the styles, or (3) above average on the positive styles (Affiliative and Self-enhancing), and below average on the negative styles (Aggressive and Self-defeating), or (4) above average on the negative styles and below average on the positive styles",Individual differences in personal humor styles: Identification of prominent patterns and their associates,"Galloway, 2010",https://www.sciencedirect.com/science/article/abs/pii/S0191886909005133,,"cross-sectional study, n=318. [Citations = 149 (GS, January 2023)].",,318.
Social Psychology,Social referencing effect,"Crosby et al. (2008) found that hearing an offensive remark caused subjects to look longer at a potentially offended person, but only if that person could hear the remark. On the basis of this result, they argued that people use social referencing to assess the offensiveness",Where do we look during potentially offensive behavior?,Crosby et al. 2008,https://journals.sagepub.com/doi/abs/10.1111/j.1467-9280.2008.02072.x?journalCode=pssa,10.1111/j.1467-9280.2008.02072.x?journalCode=pssa,"experimental design, n=25. [Citations = 95 (GS, Jan 2023)].",,25.
Social Psychology,Other-race effect,"cross-race effect, own-race bias). Humans are better at distinguishing between faces of two individuals of their own race than two faces of another race",Recognition for faces of own and other race,Malpass and Kravitz 1969,https://doi.org/10.1037/h0028434,10.1037/h0028434,"forced-choice recognition task, n=40. [Citations=1036 (GS, Feb 2023)].",,40.
Social Psychology,Unethical amnesia,Memories of unethical behaviour are less clear and vivid than memories of good deeds.​​,Memories of unethical actions become obfuscated over time,Kouchaki and Gino 2016,https://www.pnas.org/doi/abs/10.1073/pnas.1523586113,10.1073/pnas.1523586113,"nine studies, between-subjects (Study 1a, 1b, 3, 4, 5, 6, 7a, 7b) and correlational design (Study 2), total n = 2,109","177(GS, May 2023)]​","2,109"
Social Psychology,Feeling dirty after networking,"People feel uncomfortable networking because networking triggers a state of “moral impurity,” which translates into feelings of “dirtiness” and a heightened desire for “cleansing”",The contaminating effects of building instrumental ties: How networking can make us feel dirty,Casciaro et al. 2014,https://journals.sagepub.com/doi/full/10.1177/0001839214554990,10.1177/0001839214554990,"4 studies, 1 survey and 3 laboratory experiments, experiment 1: n=306, experiment 2: n=149, survey 3: n=165, experiment 4: n=149","271(GS, June 2023)]​",306 & 149 & 165 & 149
Social Psychology,Public exposure influences shame/guilt differently,Public exposure influences shame and guilt differently. **Public exposure (implicit and explicit) of transgression increases experienced shame more than guilt,The role of public exposure in moral and nonmoral shame and guilt,Smith et al.  2002,https://psycnet.apa.org/doiLanding?doi=10.1037%2F0022-3514.83.1.138,,"4 studies, between-subject design (Study 1 and 4), within-subject design (Study 2), content analysis (Study 3), Study 1: n=168, Study 2: n=56, Study 3: n=510 passages, Study 4: n=60","690(GS, June 2023)]​",168 & 56 & 510 & 60
Social Psychology,Drunk utilitarian,People are more likely to accept harm for the greater good when they are under the influence of alcohol,The drunk utilitarian: Blood alcohol concentration predicts utilitarian responses in moral dilemmas,Duke & Bègue 2015,https://www.sciencedirect.com/science/article/pii/S0010027714001875?casa_token=vK2aLMKjSnYAAAAA:VOmYOOpP4lMbjipSBv1xsEr-ZA19ziPOvG4Dc3Q7_mUaa7PFxLLc1xwIeSSZXWrAI4F7KYV0zxE,,"correlational design, Study 1: n=61, Study 2: n=42","148(GS, August 2023)]​",61 & 42
Social Psychology,Beauty is good stereotype in autistic individuals,Autistic individuals judge faces on beauty as well as neurotypical individuals,An islet of social ability in Asperger Syndrome: judging social attributes from faces,White et al. 2006,https://linkinghub.elsevier.com/retrieve/pii/S0278-2626(05)00188-0,,"between-subjects design,  neurotypical n = 24, autistic n = 16","74(GS, August 2023)",24 & 16
Social Psychology,Cognitive ability and prejudice,Lower cognitive ability is associated with higher prejudice towards minority groups.​,The authoritarian personality,Adorno et al. 1950,https://books.google.rs/books?hl=en&lr=&id=tGeWEAAAQBAJ&oi=fnd&pg=PT14&dq=authoritarian+personality&ots=4JUlnRpeo4&sig=FJVqtIQB3CbHJGrS-Qsl5A6uagU&redir_esc=y#v=onepage&q=authoritarian%20personality&f=false,,"correlational study, n=2,099","23,687(GS, August 2023)]​","2,099"
Social Psychology,Reading and theory of mind,"Reading fiction improves social cognition, i.e. understanding of others’ cognitive and emotional states. ​",Reading literary fiction improves Theory of mind,Kidd & Castano 2013,https://www.science.org/doi/abs/10.1126/science.1239918,10.1126/science.1239918,"five experiments with different designs, n1=86, n2=114, n3=69, n4=72, n5=356","2130(GS, September 2023)]​",
Social Psychology,Morning morality effect,"Normal, unremarkable experiences associated with everyday living can deplete one’s capacity to resist moral temptations. People were more likely to lie and cheat in the afternoon than in the morning.​",The Morning morality effect: The influence of time of day on unethical behavior,Kouchaki & Smith 2014,https://journals.sagepub.com/doi/abs/10.1177/0956797613498099,10.1177/0956797613498099,"four experiments with between-subjects design, n1=62, n2=65, n3=140, n4=70","354(GS, September 2023)]​",
Positive Psychology,Power pose,"Taking on a power pose lowers cortisol and risk tolerance, while it raises testosterone and feelings of power",Power Posing: Brief Nonverbal Displays Affect Neuroendocrine Levels and Risk Tolerance,Carney et al. 2010,https://journals.sagepub.com/doi/10.1177/0956797610383437?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%20%200pubmed,10.1177/0956797610383437?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub  0pubmed,"between-subjects design, n=42 mixed sexes","1450 (GS, April, 2022)",42
Positive Psychology,Facial Feedback,"Smiling causes a good mood, while pouting produces a bad mood",Inhibiting and Facilitating Conditions of the Human Smile: A Nonobtrusive Test of the Facial Feedback Hypothesis,Strack et al. 1988,https://jhrcook.github.io/wagenmaker-data-analysis/papers/Strack_1988_Inhibiting-and-facilitating-conditions-of-the-human-smile-a-nonobtrusive-test-of-the-facial-feedback-hypothesis.pdf,,"2 experimental studies, n1= 92, n2=83","2577(GS, February, 2022)",
Positive Psychology,Positive affirmation on mood,Positive self-statements boost mood for people with high self-esteem and reduce mood for people with low self-esteem,"Positive Self-Statements: Power for Some, Peril for Others",Wood et al.  2009,https://journals.sagepub.com/doi/full/10.1111/j.1467-9280.2009.02370.x,10.1111/j.1467-9280.2009.02370.x,"3 experiments with Study 1: n = 249, Study 2: n = 68, Study 3: n=116","294(GS, February 2022)]​",249 & 68 & 116
Positive Psychology,Mindfulness for mental health,"Mindfulness, the practice of paying attention to the present moment in a non-judgemental way, is thought to have a beneficial effect on mental health outcomes, including but not limited to helping individuals reduce stress and anxiety and manage emotional states more effectively",An Outpatient Program in Behavioral Medicine for Chronic Pain Patients Based on the Practice of Mindfulness Meditation,"Kabat-Zinn, 1982",https://v-assets.cdnsw.com/fs/Articles_scientifiques_Mindfulness/6lwfg-Mindfulness_chronic_pains_kabatzinn_mbsr_1982.pdf,,"longitudinal study, n=51","5726 (PubMed, January 2023)",51
Positive Psychology,Grit and Well-being,"Grittier people, those pursuing long-term goals with perseverance and passion, have greater subjective well-being",Satisfaction and Happiness,Michalos 1980,https://link.springer.com/article/10.1007/BF00461152,10.1007/BF00461152,"cross-sectional design, n=357","618(GS, September 2023)]​",357
Cognitive Psychology,Verbal overshadowing effect,"In a series of six experiments, verbalising the appearance of previously seen visual stimuli impaired subsequent recognition performance",Verbal overshadowing of visual memories: Some things are better left unsaid,Schooler](https://scholar.google.com/citations?user=3UEI9NIAAAAJ&hl=ru&oi=sra) and Engstler-Schooler 1990,https://www.sciencedirect.com/science/article/abs/pii/001002859090003M,,"experiment, n = 117 (study 4), n = 88 (study 1), n = 104 (study 2)","1218 (GS, November 2022)]​",117 & 88 & 104
Cognitive Psychology,Age of acquisition effects - influence on free recall (pure block),Early-acquired items are recalled more accurately than late-acquired items when early-acquired items are presented in a separate block and late-acquired items are presented in a separate block,Word imagery but not age of acquisition affects episodic memory,Coltheart and Winograd 1986,https://link.springer.com/article/10.3758/BF03198377,10.3758/BF03198377,"experiment, Experiment 1a: n = 42","44(GS, November 2022)]​",42
Cognitive Psychology,Age of acquisition effects - influence on free recall (mixed block),Early-acquired items are recalled more accurately than late-acquired items when early-acquired items are mixed with late-acquired items in a block,Separate Effects of Word Frequency and Age of Acquisition in Recognition and Recall,Dewhurst et al. 1998,https://www.researchgate.net/profile/Christopher-Barry-6/publication/232448882_Separate_effects_of_word_frequency_and_age_of_acquisition_in_recognition_and_recall/links/5735b45708ae298602e08719/Separate-effects-of-word-frequency-and-age-of-acquisition-in-recognition-and-recall.pdf,,"experiment, n=80","117(GS, November 2022)",80
Cognitive Psychology,Age of acquisition effects - influence on recognition (mixed block),Early-acquired items are recalled more accurately than late-acquired items,Word imagery but not age of acquisition affects episodic memory,Coltheart and Winograd 1986,https://link.springer.com/article/10.3758/BF03198377,10.3758/BF03198377,"experiment, Experiment 2: n = 102","44(GS, November 2022)]​",102
Cognitive Psychology,Age of acquisition influence on the pre-conceptual stages of lexical retrieval (progressive demasking),"Age of acquisition influences the pre-conceptual stages of lexical retrieval (progressive demasking). **Early-acquired items are identified more accurately than late-acquired items, using a progressive demasking task. A progressive demasking task is a type of perceptual identification task where participants are presented with a series of words that are gradually revealed over time and their ability to identify words at each stage of the task is measured. Words learned at an earlier age are thought to be easier to demask than those learned later in life, perhaps because the individual has gained more experience and exposure to the word, which can make it easier to recognize",Word age-of-acquisition and visual recognition threshold,Gilhooly and Logie 1981a,https://link.springer.com/article/10.3758/BF03198377,10.3758/BF03198377,"experiments, Experiment 1: n = 36, Experiment 2: n =  18","32(GS, December 2022)]​",36 & 18
Cognitive Psychology,Age of acquisition influence on the pre-conceptual stages of lexical retrieval (object decision),The age at which one acquires the concept of  an object does not contribute to the speed and accuracy of recognising whether an object is a real object or not a real world object that has chimeric features,"Age of acquisition, not word frequency, affects object naming, not object recognition",Morrison et al. 1992,https://link.springer.com/article/10.3758/BF03202720,10.3758/BF03202720,"experiment, n = 20","495(GS, December 2022)]​",20
Cognitive Psychology,Age of acquisition influence on the pre-conceptual stages of lexical retrieval (anagram solution),"Age of acquisition is thought to affect lexical retrieval through its impact on anagram (word jumbles) solutions, such that words acquired at an earlier age tend to be solved more quickly and accurately in anagram tasks than those learned later in life. This may be because words learned earlier in life are more deeply encoded and may therefore be more easily accessed","Age-of-acquisition, imagery, familiarity and meaningfulness norms for 543 words",Stration et al. 1975,https://link.springer.com/article/10.3758/BF03201278,10.3758/BF03201278,"experiment, n = 879","46(GS, December 2022)]​",879
Cognitive Psychology,Age of acquisition influence on the pre-conceptual stages of lexical retrieval (visual duration threshold),"Early-acquired items are identified more accurately than late-acquired items, using visual duration threshold task",Age of acquisition affects object recognition: Evidence from visual duration thresholds,Dent et al. 2008,https://www.sciencedirect.com/science/article/pii/S0001691806001144#section.0025,,"experiments, experiment 1=16, experiment 2 = 16; experiment 3 = 16","26(GS, December 2022)",
Cognitive Psychology,Age of acquisition influence on the pre-conceptual stages of lexical retrieval (category verification),"The age at which one acquires an object does not contribute to the speed and accuracy of category verification during a semantic categorisation task (where objects have to be decided whether they represent one group or another, e.g. tools vs. furniture",Age-of-acquisition effects in picture naming: Are they structural and/or semantic in nature?,Chalard and Bonin 2006,https://www.tandfonline.com/doi/pdf/10.1080/13506280544000084?casa_token=zlvQIG1j4LYAAAAA:_dCrMCTRb20l6LJANyECukcah1LJnKrKc3CGu4RGrENetJ_NAIxSj0kCoj5LMU_d77rH8JezPUk,10.1080/13506280544000084?casa_token=zlvQIG1j4LYAAAAA:_dCrMCTRb20l6LJANyECukcah1LJnKrKc3CGu4RGrENetJ_NAIxSj0kCoj5LMU_d77rH8JezPUk,"experiment, n = 27","36(GS, December 2022)]​",27
Cognitive Psychology,Age of acquisition influence on the pre-conceptual stages of lexical retrieval (category falsification),"The age at which one acquires the name of an object object does not contribute to the speed and accuracy of category falsification (i.e. deciding that a different word and the picture of the acquired concept do not match; e.g. the picture of the acquired concept of a rabbit, paired with the non-matching word “mouse”",Age of acquisition and typicality effects in three object processing tasks,Holmes and Ellis 2006,https://www.tandfonline.com/doi/full/10.1080/13506280544000093?casa_token=hCSgWyLLg84AAAAA%3ACQ0TDFs4z0ap-tmKleeo9sCRNMHE9NBnAYSwxTaaBgWgnPWgY2MXZkT0QkTOdpeUeaWzdq-izU8,10.1080/13506280544000093?casa_token=hCSgWyLLg84AAAAA:CQ0TDFs4z0ap-tmKleeo9sCRNMHE9NBnAYSwxTaaBgWgnPWgY2MXZkT0QkTOdpeUeaWzdq-izU8,"experiment, n = 20","87(GS, December 2022)]​",20
Cognitive Psychology,Age of acquisition influence on face recognition,Early-acquired faces are recognised more quickly and accurately than late-acquired faces,Age of acquisition in face categorisation: Is there an instance-based account?,Lewis 1999,https://www.sciencedirect.com/science/article/pii/S0010027799000207,,"correlational study, n = 9","106(GS, December 2022)]​",9
Cognitive Psychology,Age of acquisition influence on familiarity decision,Age of acquisition influence on face familiarity decision. **Early-acquired faces are recognised as familiar faces more quickly than late-acquired faces when the task is to discriminate between familiar and unfamiliar faces,Mechanisms of identity and gender decisions to faces:,,https://www.sciencedirect.com/science/article/pii/S0010027799000207,,,,
Cognitive Psychology,Age of acquisition influence on face gender decision,"The age at which  a celebrity face is acquired does not affect the speed to recognise a celebrity’s face, using a gender decision task (is this face male or female",Mechanisms of identity and gender decisions to faces: Who rocked in 1986?,Richards and Ellis 2008,https://journals.sagepub.com/doi/abs/10.1068/p6023,10.1068/p6023,"experimental design, Experiment 2: n = 32","13(GS, December 2022)]​",32
Cognitive Psychology,Age of acquisition influence on semantic decision,Early-acquired semantic concepts are categorised more quickly and accurately than later acquired concepts,Age-of-acquisition effects in semantic processing tasks,Brysbaert et al. 2000,https://www.sciencedirect.com/science/article/abs/pii/S0001691800000214,,"experimental design, Experiment 2: n = 36","307(GS, December 2022)]​",36
Cognitive Psychology,Age of acquisition influence on the conceptual stages of lexical retrieval in opaque languages (spoken picture naming in opaque languages),"Age of acquisition influence on the conceptual stages of lexical retrieval in opaque languages (spoken picture naming in opaque language). **Early-acquired objects are named more quickly and accurately than late-acquired objects in opaque languages or deep orthography (i.e. spelling-sound correspondence is not direct where one is able to pronounce the word correctly based on the spelling; e.g. English, French",Age-of-acquisition norms for 220 picturable nouns,Carroll and White 1973,https://www.sciencedirect.com/science/article/pii/S0022537173800362,,"experiment, n = 62","339(GS, January 2023)]​",62
Cognitive Psychology,Age of acquisition influence on the conceptual stages of lexical retrieval in logographic languages (spoken picture naming in logographic languages),Early-acquired names of objects are produced more quickly and accurately than late-acquired names in logographic languages such as Japanese and Chinese,Predictors of timed picture naming in Chinese,Weekes et al. 2007,https://link.springer.com/article/10.3758/BF03193165,10.3758/BF03193165,"experiments, Experiment 1: n = 30, Experiment 2: n = 100","78(GS, December 2022)]​",30 & 100
Cognitive Psychology,Age of acquisition influence on the conceptual stages of lexical retrieval in transparent languages (spoken picture naming in transparent languages),"Age of acquisition influence on the conceptual stages of lexical retrieval in transparent languages (spoken picture naming in transparent language). **Early-acquired objects are named more quickly and accurately than late-acquired objects in transparent languages or shallow orthography (i.e. spelling-sound correspondence is direct where one is able to pronounce the word correctly based on the spelling; e.g. Spanish, Turkish, Italian",Naming times for the Snodgrass and Vanderwart pictures in Spanish,Cuetos et al. 1999,https://link.springer.com/article/10.3758/BF03200741,10.3758/BF03200741,"experiment, n = 64","301(GS, January 2023)]​",64
Cognitive Psychology,Age of acquisition influence on the conceptual stages of lexical retrieval (written picture naming),Early-acquired object names are written more quickly and accurately than late-acquired names,Age of Acquisition and Word Frequency in Written Picture Naming,Bonin et al. 2001,https://www.tandfonline.com/doi/abs/10.1080/713755968?casa_token=38y5RBQDY08AAAAA:maWDcXn1e9E-PqRxZ6pIZEkFXsFA9fZONJ2-Kl-ezanxfOdW9usuRxizz_YZDXtXRYBgGscaRsQ,10.1080/713755968?casa_token=38y5RBQDY08AAAAA:maWDcXn1e9E-PqRxZ6pIZEkFXsFA9fZONJ2-Kl-ezanxfOdW9usuRxizz_YZDXtXRYBgGscaRsQ,"experiment, n = 30","166(GS, December 2022)]​",30
Cognitive Psychology,Age of acquisition influence on the conceptual stages of lexical retrieval (typing),"Age of acquisition influence on the conceptual stages of lexical retrieval   (typing). **Early-acquired object names are typed more quickly than late-acquired object names. Typing allows more precise measure for the response execution, while written picture naming is a measure for lexical retrieval",Naming times for the Snodgrass and Vanderwart pictures,Snodgrass and Yuditsky 1996,https://link.springer.com/article/10.3758/BF03200540,10.3758/BF03200540,"experiment, experiment 2, n = 96","403(GS, December 2022)]​",96
Cognitive Psychology,Age of acquisition influence on the post-conceptual stages of lexical retrieval (delayed spoken picture naming),"Age of acquisition influence on the post-lexical stages of lexical retrieval (delayed spoken picture naming). **Early-acquired words should not differ from late-acquired words in terms of accuracy and response speed of spoken naming, when using a delayed picture naming task that requires participants to name a picture a few seconds (e.g. 2-4 sec) after seeing the actual picture. This task enables researchers to assess if any possible delay of naming effects result at an articulatory level, as opposed to a conceptual level or lexical retrieval stage",Real Age-of-Acquisition Effects in Lexical Retrieval,Ellis and Morrison 1998,https://www.researchgate.net/profile/Andrew-Ellis-11/publication/51323282_Real_age-of-acquisition_effects_in_lexical_retrieval/links/5e60138a4585152ce808fead/Real-age-of-acquisition-effects-in-lexical-retrieval.pdf,,"experiment, n=40","468(GS, December 2022)",40
